cancer_group	cohort	cell_type	molecular_subtype	n
Diffuse midline glioma	PBTA	uncharacterized cell	DMG, H3 K28, TP53	131
Dysembryoplastic neuroepithelial tumor	PBTA	B cell	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	Macrophage M1	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	Macrophage M2	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	Monocyte	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	Myeloid dendritic cell	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	NK cell	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	Neutrophil	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	T cell CD4+ (non-regulatory)	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	T cell CD8+	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	T cell regulatory (Tregs)	NA	37
Dysembryoplastic neuroepithelial tumor	PBTA	uncharacterized cell	NA	37
Embryonal tumor with multilayer rosettes	PBTA	B cell	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	B cell	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	Macrophage M1	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	Macrophage M1	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	Macrophage M2	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	Macrophage M2	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	Monocyte	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	Monocyte	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	Myeloid dendritic cell	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	Myeloid dendritic cell	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	NK cell	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	NK cell	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	Neutrophil	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	Neutrophil	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	T cell CD4+ (non-regulatory)	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	T cell CD4+ (non-regulatory)	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	T cell CD8+	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	T cell CD8+	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	T cell regulatory (Tregs)	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	T cell regulatory (Tregs)	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PBTA	uncharacterized cell	ETMR, C19MC-altered	5
Embryonal tumor with multilayer rosettes	PBTA	uncharacterized cell	ETMR, NOS	6
Embryonal tumor with multilayer rosettes	PPTC	B cell	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	Macrophage M1	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	Macrophage M2	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	Monocyte	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	Myeloid dendritic cell	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	NK cell	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	Neutrophil	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	T cell CD4+ (non-regulatory)	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	T cell CD8+	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	T cell regulatory (Tregs)	ETMR, NOS	3
Embryonal tumor with multilayer rosettes	PPTC	uncharacterized cell	ETMR, NOS	3
Ependymoma	PBTA	B cell	EPN, MPE	11
Ependymoma	PBTA	B cell	EPN, PF A	56
Ependymoma	PBTA	B cell	EPN, PF B	6
Ependymoma	PBTA	B cell	EPN, SP	5
Ependymoma	PBTA	B cell	EPN, SP-MYCN	2
Ependymoma	PBTA	B cell	EPN, ST YAP1	6
Ependymoma	PBTA	B cell	EPN, ST ZFTA	42
Ependymoma	PBTA	B cell	EPN, To be classified	55
Ependymoma	PBTA	Macrophage M1	EPN, MPE	11
Ependymoma	PBTA	Macrophage M1	EPN, PF A	56
Ependymoma	PBTA	Macrophage M1	EPN, PF B	6
Ependymoma	PBTA	Macrophage M1	EPN, SP	5
Ependymoma	PBTA	Macrophage M1	EPN, SP-MYCN	2
Ependymoma	PBTA	Macrophage M1	EPN, ST YAP1	6
Ependymoma	PBTA	Macrophage M1	EPN, ST ZFTA	42
Ependymoma	PBTA	Macrophage M1	EPN, To be classified	55
Ependymoma	PBTA	Macrophage M2	EPN, MPE	11
Ependymoma	PBTA	Macrophage M2	EPN, PF A	56
Ependymoma	PBTA	Macrophage M2	EPN, PF B	6
Ependymoma	PBTA	Macrophage M2	EPN, SP	5
Ependymoma	PBTA	Macrophage M2	EPN, SP-MYCN	2
Ependymoma	PBTA	Macrophage M2	EPN, ST YAP1	6
Ependymoma	PBTA	Macrophage M2	EPN, ST ZFTA	42
Ependymoma	PBTA	Macrophage M2	EPN, To be classified	55
Ependymoma	PBTA	Monocyte	EPN, MPE	11
Ependymoma	PBTA	Monocyte	EPN, PF A	56
Ependymoma	PBTA	Monocyte	EPN, PF B	6
Ependymoma	PBTA	Monocyte	EPN, SP	5
Ependymoma	PBTA	Monocyte	EPN, SP-MYCN	2
Ependymoma	PBTA	Monocyte	EPN, ST YAP1	6
Ependymoma	PBTA	Monocyte	EPN, ST ZFTA	42
Ependymoma	PBTA	Monocyte	EPN, To be classified	55
Ependymoma	PBTA	Myeloid dendritic cell	EPN, MPE	11
Ependymoma	PBTA	Myeloid dendritic cell	EPN, PF A	56
Ependymoma	PBTA	Myeloid dendritic cell	EPN, PF B	6
Ependymoma	PBTA	Myeloid dendritic cell	EPN, SP	5
Ependymoma	PBTA	Myeloid dendritic cell	EPN, SP-MYCN	2
Ependymoma	PBTA	Myeloid dendritic cell	EPN, ST YAP1	6
Ependymoma	PBTA	Myeloid dendritic cell	EPN, ST ZFTA	42
Ependymoma	PBTA	Myeloid dendritic cell	EPN, To be classified	55
Ependymoma	PBTA	NK cell	EPN, MPE	11
Ependymoma	PBTA	NK cell	EPN, PF A	56
Ependymoma	PBTA	NK cell	EPN, PF B	6
Ependymoma	PBTA	NK cell	EPN, SP	5
Ependymoma	PBTA	NK cell	EPN, SP-MYCN	2
Ependymoma	PBTA	NK cell	EPN, ST YAP1	6
Ependymoma	PBTA	NK cell	EPN, ST ZFTA	42
Ependymoma	PBTA	NK cell	EPN, To be classified	55
Ependymoma	PBTA	Neutrophil	EPN, MPE	11
Ependymoma	PBTA	Neutrophil	EPN, PF A	56
Ependymoma	PBTA	Neutrophil	EPN, PF B	6
Ependymoma	PBTA	Neutrophil	EPN, SP	5
Ependymoma	PBTA	Neutrophil	EPN, SP-MYCN	2
Ependymoma	PBTA	Neutrophil	EPN, ST YAP1	6
Ependymoma	PBTA	Neutrophil	EPN, ST ZFTA	42
Ependymoma	PBTA	Neutrophil	EPN, To be classified	55
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, MPE	11
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, PF A	56
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, PF B	6
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, SP	5
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, SP-MYCN	2
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, ST YAP1	6
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, ST ZFTA	42
Ependymoma	PBTA	T cell CD4+ (non-regulatory)	EPN, To be classified	55
Ependymoma	PBTA	T cell CD8+	EPN, MPE	11
Ependymoma	PBTA	T cell CD8+	EPN, PF A	56
Ependymoma	PBTA	T cell CD8+	EPN, PF B	6
Ependymoma	PBTA	T cell CD8+	EPN, SP	5
Ependymoma	PBTA	T cell CD8+	EPN, SP-MYCN	2
Ependymoma	PBTA	T cell CD8+	EPN, ST YAP1	6
Ependymoma	PBTA	T cell CD8+	EPN, ST ZFTA	42
Ependymoma	PBTA	T cell CD8+	EPN, To be classified	55
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, MPE	11
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, PF A	56
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, PF B	6
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, SP	5
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, SP-MYCN	2
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, ST YAP1	6
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, ST ZFTA	42
Ependymoma	PBTA	T cell regulatory (Tregs)	EPN, To be classified	55
Ependymoma	PBTA	uncharacterized cell	EPN, MPE	11
Ependymoma	PBTA	uncharacterized cell	EPN, PF A	56
Ependymoma	PBTA	uncharacterized cell	EPN, PF B	6
Ependymoma	PBTA	uncharacterized cell	EPN, SP	5
Ependymoma	PBTA	uncharacterized cell	EPN, SP-MYCN	2
Ependymoma	PBTA	uncharacterized cell	EPN, ST YAP1	6
Ependymoma	PBTA	uncharacterized cell	EPN, ST ZFTA	42
Ependymoma	PBTA	uncharacterized cell	EPN, To be classified	55
Ependymoma	PPTC	B cell	EPN, ST ZFTA	2
Ependymoma	PPTC	B cell	EPN, To be classified	4
Ependymoma	PPTC	Macrophage M1	EPN, ST ZFTA	2
Ependymoma	PPTC	Macrophage M1	EPN, To be classified	4
Ependymoma	PPTC	Macrophage M2	EPN, ST ZFTA	2
Ependymoma	PPTC	Macrophage M2	EPN, To be classified	4
Ependymoma	PPTC	Monocyte	EPN, ST ZFTA	2
Ependymoma	PPTC	Monocyte	EPN, To be classified	4
Ependymoma	PPTC	Myeloid dendritic cell	EPN, ST ZFTA	2
Ependymoma	PPTC	Myeloid dendritic cell	EPN, To be classified	4
Ependymoma	PPTC	NK cell	EPN, ST ZFTA	2
Ependymoma	PPTC	NK cell	EPN, To be classified	4
Ependymoma	PPTC	Neutrophil	EPN, ST ZFTA	2
Ependymoma	PPTC	Neutrophil	EPN, To be classified	4
Ependymoma	PPTC	T cell CD4+ (non-regulatory)	EPN, ST ZFTA	2
Ependymoma	PPTC	T cell CD4+ (non-regulatory)	EPN, To be classified	4
Ependymoma	PPTC	T cell CD8+	EPN, ST ZFTA	2
Ependymoma	PPTC	T cell CD8+	EPN, To be classified	4
Ependymoma	PPTC	T cell regulatory (Tregs)	EPN, ST ZFTA	2
Ependymoma	PPTC	T cell regulatory (Tregs)	EPN, To be classified	4
Ependymoma	PPTC	uncharacterized cell	EPN, ST ZFTA	2
Ependymoma	PPTC	uncharacterized cell	EPN, To be classified	4
Ewing sarcoma	PBTA	B cell	EWS	18
Ewing sarcoma	PBTA	Macrophage M1	EWS	18
Ewing sarcoma	PBTA	Macrophage M2	EWS	18
Ewing sarcoma	PBTA	Monocyte	EWS	18
Ewing sarcoma	PBTA	Myeloid dendritic cell	EWS	18
Ewing sarcoma	PBTA	NK cell	EWS	18
Ewing sarcoma	PBTA	Neutrophil	EWS	18
Ewing sarcoma	PBTA	T cell CD4+ (non-regulatory)	EWS	18
Ewing sarcoma	PBTA	T cell CD8+	EWS	18
Ewing sarcoma	PBTA	T cell regulatory (Tregs)	EWS	18
Ewing sarcoma	PBTA	uncharacterized cell	EWS	18
Ewing sarcoma	PPTC	B cell	EWS	9
Ewing sarcoma	PPTC	Macrophage M1	EWS	9
Ewing sarcoma	PPTC	Macrophage M2	EWS	9
Ewing sarcoma	PPTC	Monocyte	EWS	9
Ewing sarcoma	PPTC	Myeloid dendritic cell	EWS	9
Ewing sarcoma	PPTC	NK cell	EWS	9
Ewing sarcoma	PPTC	Neutrophil	EWS	9
Ewing sarcoma	PPTC	T cell CD4+ (non-regulatory)	EWS	9
Ewing sarcoma	PPTC	T cell CD8+	EWS	9
Ewing sarcoma	PPTC	T cell regulatory (Tregs)	EWS	9
Ewing sarcoma	PPTC	uncharacterized cell	EWS	9
Extraventricular neurocytoma	PBTA	B cell	EVN	2
Extraventricular neurocytoma	PBTA	Macrophage M1	EVN	2
Extraventricular neurocytoma	PBTA	Macrophage M2	EVN	2
Extraventricular neurocytoma	PBTA	Monocyte	EVN	2
Extraventricular neurocytoma	PBTA	Myeloid dendritic cell	EVN	2
Extraventricular neurocytoma	PBTA	NK cell	EVN	2
Extraventricular neurocytoma	PBTA	Neutrophil	EVN	2
Extraventricular neurocytoma	PBTA	T cell CD4+ (non-regulatory)	EVN	2
Extraventricular neurocytoma	PBTA	T cell CD8+	EVN	2
Extraventricular neurocytoma	PBTA	T cell regulatory (Tregs)	EVN	2
Extraventricular neurocytoma	PBTA	uncharacterized cell	EVN	2
Ganglioglioma	PBTA	B cell	GNG, BRAF V600E	22
Ganglioglioma	PBTA	B cell	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	B cell	GNG, FGFR	3
Ganglioglioma	PBTA	B cell	GNG, H3	2
Ganglioglioma	PBTA	B cell	GNG, IDH	2
Ganglioglioma	PBTA	B cell	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	B cell	GNG, MAPK	1
Ganglioglioma	PBTA	B cell	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	B cell	GNG, NF1-germline	1
Ganglioglioma	PBTA	B cell	GNG, RTK	7
Ganglioglioma	PBTA	B cell	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	B cell	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	B cell	GNG, To be classified	2
Ganglioglioma	PBTA	B cell	GNG, other MAPK	5
Ganglioglioma	PBTA	B cell	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	B cell	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	B cell	GNG, wildtype	17
Ganglioglioma	PBTA	Macrophage M1	GNG, BRAF V600E	22
Ganglioglioma	PBTA	Macrophage M1	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	Macrophage M1	GNG, FGFR	3
Ganglioglioma	PBTA	Macrophage M1	GNG, H3	2
Ganglioglioma	PBTA	Macrophage M1	GNG, IDH	2
Ganglioglioma	PBTA	Macrophage M1	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	Macrophage M1	GNG, MAPK	1
Ganglioglioma	PBTA	Macrophage M1	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	Macrophage M1	GNG, NF1-germline	1
Ganglioglioma	PBTA	Macrophage M1	GNG, RTK	7
Ganglioglioma	PBTA	Macrophage M1	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	Macrophage M1	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	Macrophage M1	GNG, To be classified	2
Ganglioglioma	PBTA	Macrophage M1	GNG, other MAPK	5
Ganglioglioma	PBTA	Macrophage M1	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	Macrophage M1	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	Macrophage M1	GNG, wildtype	17
Ganglioglioma	PBTA	Macrophage M2	GNG, BRAF V600E	22
Ganglioglioma	PBTA	Macrophage M2	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	Macrophage M2	GNG, FGFR	3
Ganglioglioma	PBTA	Macrophage M2	GNG, H3	2
Ganglioglioma	PBTA	Macrophage M2	GNG, IDH	2
Ganglioglioma	PBTA	Macrophage M2	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	Macrophage M2	GNG, MAPK	1
Ganglioglioma	PBTA	Macrophage M2	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	Macrophage M2	GNG, NF1-germline	1
Ganglioglioma	PBTA	Macrophage M2	GNG, RTK	7
Ganglioglioma	PBTA	Macrophage M2	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	Macrophage M2	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	Macrophage M2	GNG, To be classified	2
Ganglioglioma	PBTA	Macrophage M2	GNG, other MAPK	5
Ganglioglioma	PBTA	Macrophage M2	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	Macrophage M2	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	Macrophage M2	GNG, wildtype	17
Ganglioglioma	PBTA	Monocyte	GNG, BRAF V600E	22
Ganglioglioma	PBTA	Monocyte	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	Monocyte	GNG, FGFR	3
Ganglioglioma	PBTA	Monocyte	GNG, H3	2
Ganglioglioma	PBTA	Monocyte	GNG, IDH	2
Ganglioglioma	PBTA	Monocyte	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	Monocyte	GNG, MAPK	1
Ganglioglioma	PBTA	Monocyte	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	Monocyte	GNG, NF1-germline	1
Ganglioglioma	PBTA	Monocyte	GNG, RTK	7
Ganglioglioma	PBTA	Monocyte	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	Monocyte	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	Monocyte	GNG, To be classified	2
Ganglioglioma	PBTA	Monocyte	GNG, other MAPK	5
Ganglioglioma	PBTA	Monocyte	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	Monocyte	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	Monocyte	GNG, wildtype	17
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, BRAF V600E	22
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, FGFR	3
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, H3	2
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, IDH	2
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, MAPK	1
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, NF1-germline	1
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, RTK	7
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, To be classified	2
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, other MAPK	5
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	Myeloid dendritic cell	GNG, wildtype	17
Ganglioglioma	PBTA	NK cell	GNG, BRAF V600E	22
Ganglioglioma	PBTA	NK cell	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	NK cell	GNG, FGFR	3
Ganglioglioma	PBTA	NK cell	GNG, H3	2
Ganglioglioma	PBTA	NK cell	GNG, IDH	2
Ganglioglioma	PBTA	NK cell	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	NK cell	GNG, MAPK	1
Ganglioglioma	PBTA	NK cell	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	NK cell	GNG, NF1-germline	1
Ganglioglioma	PBTA	NK cell	GNG, RTK	7
Ganglioglioma	PBTA	NK cell	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	NK cell	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	NK cell	GNG, To be classified	2
Ganglioglioma	PBTA	NK cell	GNG, other MAPK	5
Ganglioglioma	PBTA	NK cell	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	NK cell	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	NK cell	GNG, wildtype	17
Ganglioglioma	PBTA	Neutrophil	GNG, BRAF V600E	22
Ganglioglioma	PBTA	Neutrophil	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	Neutrophil	GNG, FGFR	3
Ganglioglioma	PBTA	Neutrophil	GNG, H3	2
Ganglioglioma	PBTA	Neutrophil	GNG, IDH	2
Ganglioglioma	PBTA	Neutrophil	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	Neutrophil	GNG, MAPK	1
Ganglioglioma	PBTA	Neutrophil	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	Neutrophil	GNG, NF1-germline	1
Ganglioglioma	PBTA	Neutrophil	GNG, RTK	7
Ganglioglioma	PBTA	Neutrophil	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	Neutrophil	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	Neutrophil	GNG, To be classified	2
Ganglioglioma	PBTA	Neutrophil	GNG, other MAPK	5
Ganglioglioma	PBTA	Neutrophil	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	Neutrophil	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	Neutrophil	GNG, wildtype	17
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, BRAF V600E	22
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, FGFR	3
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, H3	2
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, IDH	2
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, MAPK	1
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, NF1-germline	1
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, RTK	7
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, To be classified	2
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, other MAPK	5
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	T cell CD4+ (non-regulatory)	GNG, wildtype	17
Ganglioglioma	PBTA	T cell CD8+	GNG, BRAF V600E	22
Ganglioglioma	PBTA	T cell CD8+	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	T cell CD8+	GNG, FGFR	3
Ganglioglioma	PBTA	T cell CD8+	GNG, H3	2
Ganglioglioma	PBTA	T cell CD8+	GNG, IDH	2
Ganglioglioma	PBTA	T cell CD8+	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	T cell CD8+	GNG, MAPK	1
Ganglioglioma	PBTA	T cell CD8+	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	T cell CD8+	GNG, NF1-germline	1
Ganglioglioma	PBTA	T cell CD8+	GNG, RTK	7
Ganglioglioma	PBTA	T cell CD8+	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	T cell CD8+	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	T cell CD8+	GNG, To be classified	2
Ganglioglioma	PBTA	T cell CD8+	GNG, other MAPK	5
Ganglioglioma	PBTA	T cell CD8+	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	T cell CD8+	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	T cell CD8+	GNG, wildtype	17
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, BRAF V600E	22
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, FGFR	3
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, H3	2
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, IDH	2
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, MAPK	1
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, NF1-germline	1
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, RTK	7
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, To be classified	2
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, other MAPK	5
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	T cell regulatory (Tregs)	GNG, wildtype	17
Ganglioglioma	PBTA	uncharacterized cell	GNG, BRAF V600E	22
Ganglioglioma	PBTA	uncharacterized cell	GNG, BRAF V600E, CDKN2A/B	2
Ganglioglioma	PBTA	uncharacterized cell	GNG, FGFR	3
Ganglioglioma	PBTA	uncharacterized cell	GNG, H3	2
Ganglioglioma	PBTA	uncharacterized cell	GNG, IDH	2
Ganglioglioma	PBTA	uncharacterized cell	GNG, KIAA1549-BRAF	9
Ganglioglioma	PBTA	uncharacterized cell	GNG, MAPK	1
Ganglioglioma	PBTA	uncharacterized cell	GNG, MYB/MYBL1	2
Ganglioglioma	PBTA	uncharacterized cell	GNG, NF1-germline	1
Ganglioglioma	PBTA	uncharacterized cell	GNG, RTK	7
Ganglioglioma	PBTA	uncharacterized cell	GNG, RTK, BRAF V600E	1
Ganglioglioma	PBTA	uncharacterized cell	GNG, RTK, FGFR	1
Ganglioglioma	PBTA	uncharacterized cell	GNG, To be classified	2
Ganglioglioma	PBTA	uncharacterized cell	GNG, other MAPK	5
Ganglioglioma	PBTA	uncharacterized cell	GNG, other MAPK, BRAF V600E	1
Ganglioglioma	PBTA	uncharacterized cell	GNG, other MAPK, IDH	1
Ganglioglioma	PBTA	uncharacterized cell	GNG, wildtype	17
Ganglioneuroblastoma	GMKF	B cell	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	B cell	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	Macrophage M1	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	Macrophage M1	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	Macrophage M2	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	Macrophage M2	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	Monocyte	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	Monocyte	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	Myeloid dendritic cell	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	Myeloid dendritic cell	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	NK cell	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	NK cell	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	Neutrophil	NBL, MYCN amplified	14
