cancer_group	cohort	cell_type	molecular_subtype	n
Medulloblastoma	PBTA	Plasmacytoid dendritic cell	MB, SHH	78
Medulloblastoma	PBTA	Plasmacytoid dendritic cell	MB, WNT	22
Medulloblastoma	PBTA	T cell CD4+ (non-regulatory)	MB, Group3	60
Medulloblastoma	PBTA	T cell CD4+ (non-regulatory)	MB, Group4	100
Medulloblastoma	PBTA	T cell CD4+ (non-regulatory)	MB, SHH	78
Medulloblastoma	PBTA	T cell CD4+ (non-regulatory)	MB, WNT	22
Medulloblastoma	PBTA	T cell CD4+ Th1	MB, Group3	60
Medulloblastoma	PBTA	T cell CD4+ Th1	MB, Group4	100
Medulloblastoma	PBTA	T cell CD4+ Th1	MB, SHH	78
Medulloblastoma	PBTA	T cell CD4+ Th1	MB, WNT	22
Medulloblastoma	PBTA	T cell CD4+ Th2	MB, Group3	60
Medulloblastoma	PBTA	T cell CD4+ Th2	MB, Group4	100
Medulloblastoma	PBTA	T cell CD4+ Th2	MB, SHH	78
Medulloblastoma	PBTA	T cell CD4+ Th2	MB, WNT	22
Medulloblastoma	PBTA	T cell CD4+ central memory	MB, Group3	60
Medulloblastoma	PBTA	T cell CD4+ central memory	MB, Group4	100
Medulloblastoma	PBTA	T cell CD4+ central memory	MB, SHH	78
Medulloblastoma	PBTA	T cell CD4+ central memory	MB, WNT	22
Medulloblastoma	PBTA	T cell CD4+ effector memory	MB, Group3	60
Medulloblastoma	PBTA	T cell CD4+ effector memory	MB, Group4	100
Medulloblastoma	PBTA	T cell CD4+ effector memory	MB, SHH	78
Medulloblastoma	PBTA	T cell CD4+ effector memory	MB, WNT	22
Medulloblastoma	PBTA	T cell CD4+ memory	MB, Group3	60
Medulloblastoma	PBTA	T cell CD4+ memory	MB, Group4	100
Medulloblastoma	PBTA	T cell CD4+ memory	MB, SHH	78
Medulloblastoma	PBTA	T cell CD4+ memory	MB, WNT	22
Medulloblastoma	PBTA	T cell CD4+ naive	MB, Group3	60
Medulloblastoma	PBTA	T cell CD4+ naive	MB, Group4	100
Medulloblastoma	PBTA	T cell CD4+ naive	MB, SHH	78
Medulloblastoma	PBTA	T cell CD4+ naive	MB, WNT	22
Medulloblastoma	PBTA	T cell CD8+	MB, Group3	60
Medulloblastoma	PBTA	T cell CD8+	MB, Group4	100
Medulloblastoma	PBTA	T cell CD8+	MB, SHH	78
Medulloblastoma	PBTA	T cell CD8+	MB, WNT	22
Medulloblastoma	PBTA	T cell CD8+ central memory	MB, Group3	60
Medulloblastoma	PBTA	T cell CD8+ central memory	MB, Group4	100
Medulloblastoma	PBTA	T cell CD8+ central memory	MB, SHH	78
Medulloblastoma	PBTA	T cell CD8+ central memory	MB, WNT	22
