sample_id	tp53_score	tp53_shuffle
BS_00FD2KMP	0.6150307798593471	0.5599775066932715
BS_056Q8577	0.625231584879846	0.590049638064088
BS_0Q71ZPDX	0.7148245205870679	0.34601159041631685
BS_0S8E7590	0.7992748624566057	0.5102001272018118
BS_17ZSMXFH	0.2760513382926178	0.3872133517986442
BS_1DNQ1R02	0.734361583183104	0.5227079716768149
BS_22B80N9T	0.2698515861789594	0.6330141317975755
BS_2720P44V	0.28060291880984084	0.47229240401075245
BS_2853394H	0.6315428148471381	0.587882229516219
BS_29YQ60CP	0.5449053682558305	0.7539583608808595
BS_2ARXK0TD	0.5696456231770841	0.6178631216964101
BS_2FVW6473	0.6031876690005795	0.5692444730968682
BS_2K01T8K6	0.8633016968921503	0.6148823339451686
BS_30F3Z9FS	0.8302867748154787	0.25070895647213215
BS_30YWQ3FY	0.601813611154028	0.5367717251801531
BS_31MBRWC4	0.23414248223059672	0.6047583115194736
BS_333KCNDP	0.6547327929343268	0.5953864172575475
BS_39ZZQVFE	0.6071063049588405	0.5475410865372105
BS_3GDARCHK	0.3008087964311721	0.6530542191966691
BS_3J89DCN0	0.15281962937001753	0.3997981314653683
BS_3N2YFZFB	0.7869083051669584	0.37001875175354365
BS_3ZPJAK9A	0.6413937236736788	0.41008996038707124
BS_4BGSTBN0	0.08529754902356018	0.6276099105863857
BS_4GNN7J8E	0.27276885854529864	0.6238923827783199
BS_4KNBXM3C	0.5403370132340813	0.6552090826094491
BS_4Q3KRCZT	0.17486367582832504	0.2608640086395201
BS_516X056B	0.4791585177474936	0.8222182965037687
BS_5K95FX4C	0.08005409176379652	0.5838059648445388
BS_5ZD8FRPJ	0.3683552288401676	0.5818692047562426
BS_62SW4CC5	0.9387652780951847	0.3568076768942521
BS_65A41ZQJ	0.12341866373078528	0.5241607787341498
BS_65WPD3DA	0.8339839784429789	0.39884697178978445
BS_6H4Q24WA	0.7563813336795413	0.7024191764773867
BS_6SY64H5J	0.34693482573653195	0.34957075800478693
BS_75YRDXET	0.3113871326433616	0.24992488461096193
BS_7MGXMG6S	0.491387472381164	0.5856833243370478
BS_8FVF27TH	0.7000996437741629	0.3898941454713276
BS_8H3S44QP	0.5012574179781983	0.5996293767059074
BS_8QVFVG0A	0.10161170383262395	0.6482590043241677
BS_8TTMM7FE	0.7015665233901922	0.36938086832896083
BS_8ZE4Z9G5	0.7144950002817398	0.3811325712531515
BS_9A1YTHFF	0.7776668893732048	0.645458591004364
BS_9B0A62MT	0.7130334098630603	0.6042910694145406
BS_9GJ3DB1H	0.7759297292894561	0.4953217398877918
BS_A4H0XQCR	0.2936916982329664	0.21524216836361715
BS_A52V3XJM	0.5532696591123305	0.47525924516044776
BS_A76PNWQS	0.11072536715301061	0.6491376483456968
BS_A8XW5S0W	0.3704698601022652	0.17147489791462212
BS_AB5PEQTJ	0.6961355793572752	0.45857005651021593
BS_AQJKXQ69	0.5958801296068824	0.47562950374014984
BS_AZQM1JJH	0.6792074868534147	0.5185399031522044
BS_BK0HGRXM	0.4926618057912906	0.47431487227061164
BS_BKTREQVQ	0.5346296461027026	0.4343684759987446
BS_BW79W2PD	0.74671983541647	0.7379153951937238
BS_CF63VG3S	0.4989674536650687	0.519142752256742
BS_CG1RG607	0.5520443632977494	0.3802890965825055
BS_CG6R2RED	0.22345359156322364	0.5323263901684122
BS_CVEDJGHZ	0.515708684710486	0.5894320735539493
BS_CZPQ493E	0.5010084027929074	0.40085132708942234
BS_DK87G2MP	0.5720839120002282	0.42958284707993166
BS_DNZVP92S	0.07636973351324447	0.8401053801353304
BS_DR079H0D	0.7001497562835262	0.6926796276377487
BS_DS4Z2VBP	0.5734996526724849	0.3926983647082929
BS_E2W0TCTA	0.32785617261330935	0.45101287785072536
