sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_00FD2KMP	0.3247403989408467	0.6236895776724042	0.43186451617672267	0.6896292553550049	0.41222583382200334	0.4470779847737534
BS_056Q8577	0.47218792238766966	0.6153538926290413	0.3474064616918817	0.45181896797377236	0.6496579797602634	0.545815174761064
BS_0Q71ZPDX	0.4831705789228331	0.724340865218831	0.4927363287492349	0.3524328267652493	0.7605235781604183	0.3890015173152776
BS_0S8E7590	0.7778908698356013	0.801493458340367	0.6312661903196195	0.45278967889576993	0.5057228667101551	0.41550256879574454
BS_17ZSMXFH	0.752384245997204	0.27488189997777823	0.6730778720156371	0.5971420893304916	0.44042934345312734	0.5283875548740058
BS_1DNQ1R02	0.565557400992623	0.7319239235500652	0.46955137002665936	0.4825826542779783	0.5332667751518242	0.4891738904034502
BS_22B80N9T	0.45928228152307077	0.26919527849757885	0.36662202528771787	0.5655581636127204	0.685030315532038	0.6196196775321253
BS_2720P44V	0.48626528983725403	0.2816207815187921	0.5934466708847761	0.6170261360231541	0.49522356853806515	0.5014023476549663
BS_2853394H	0.30993044401617287	0.6421050641982907	0.3990277934702112	0.6545285419700645	0.35831924221921957	0.5221932262160698
BS_29YQ60CP	0.29837482840592355	0.5567929374369542	0.4441613411770449	0.4698935567977726	0.6182493364116708	0.3517582780831466
BS_2ARXK0TD	0.6327616755489217	0.5673489697669594	0.4885592995599921	0.29305853565258655	0.366167695300764	0.46957657386607504
BS_2FVW6473	0.5615958998023836	0.5990552290568139	0.5803252274461806	0.5500138634753563	0.30434108669392296	0.4314720949889767
BS_2K01T8K6	0.5229239551258197	0.8596945343522614	0.4703342043125127	0.4596766567866932	0.43549998652622807	0.5303317722059505
BS_30F3Z9FS	0.43680791541408565	0.8285526480887131	0.5055091244889155	0.562194082977088	0.631918007265974	0.5051622104967323
BS_30YWQ3FY	0.5978922110723315	0.5954755487679277	0.4675496140840085	0.3815342139213196	0.585241625815413	0.554123229539052
BS_31MBRWC4	0.7440740159904706	0.2329682040606918	0.5298777421677573	0.4791067884570538	0.6563625513267203	0.6312665492446375
BS_333KCNDP	0.5029641393623283	0.6458200137512464	0.5829308899670322	0.36789290413102865	0.29099322948615813	0.5371468757735519
BS_39ZZQVFE	0.5254120778208012	0.6165732462346302	0.4424621687057256	0.48494946812628287	0.6536115499962537	0.5214895206342001
BS_3GDARCHK	0.8201119698973013	0.27190750951553644	0.5403593450350366	0.3240897538308312	0.6086472439529856	0.5042292425475602
BS_3J89DCN0	0.5984774396529869	0.15875035622125824	0.5797469400129789	0.5047818172700527	0.44797536119170317	0.42276342108901277
BS_3N2YFZFB	0.4048579960797017	0.7875851545341838	0.4570776584674038	0.5425687947264373	0.3877997108753301	0.4442734761517601
BS_3ZPJAK9A	0.33173456467171203	0.6509877749123821	0.4291578370314199	0.3569789767258964	0.47557151055792746	0.6594847280411935
BS_4BGSTBN0	0.6151623766715234	0.08303968796123516	0.4306053175420044	0.37620927721784697	0.2973819914762639	0.3697282544654349
BS_4GNN7J8E	0.3311525977575859	0.2700280041715701	0.6425074256004796	0.525626270977251	0.4443326865250643	0.4462466055124894
BS_4KNBXM3C	0.3627360909331596	0.5510921889215064	0.43489514387463346	0.5777915570408025	0.6645800674245353	0.3839223775901194
BS_4Q3KRCZT	0.6692828295081293	0.17701327966231944	0.5989051348738405	0.37931468318415756	0.5847923545472569	0.6212683372485805
BS_516X056B	0.7176680923001248	0.47841405140684035	0.3158878098067464	0.5174167574574545	0.25923136829324117	0.43334171607648575
BS_5K95FX4C	0.3864555251254407	0.08180824267742651	0.6015598729694076	0.3840354052267419	0.5112471290553925	0.5452761578366364
BS_5ZD8FRPJ	0.665171838922485	0.37256120899552914	0.5204891353877797	0.41441061237923166	0.7199178246249539	0.4869202856820219
BS_62SW4CC5	0.549815936984117	0.9382953559640446	0.5649791225019224	0.5210757576027841	0.4777132929009079	0.45250992576851856
BS_65A41ZQJ	0.770946915531003	0.11877679318627649	0.41993600671815506	0.533826393390879	0.3944254590583558	0.5745837588345275
BS_65WPD3DA	0.44867581303110127	0.8354470427549611	0.4198209842063211	0.3635297469215849	0.316564624658381	0.6035869777539787
BS_6H4Q24WA	0.3939371762131948	0.7572235236308892	0.583009974164717	0.8297265009226696	0.37751999853899837	0.4486231771921745
BS_6SY64H5J	0.39050598858467844	0.3475959177317116	0.5676307902671968	0.5853361863123763	0.37535102774125984	0.5657722265153923
BS_75YRDXET	0.38084020978158917	0.3188362122781773	0.4413645026092689	0.4565723965266608	0.2663262453791859	0.513730639530282
BS_7MGXMG6S	0.4317304018495394	0.49356338629265334	0.48986514920817276	0.26946951946034364	0.34703521740220306	0.4134151537043442
BS_8FVF27TH	0.4578502040441733	0.6972786604760822	0.44750134844295525	0.40212854100345297	0.2914146060565154	0.5252626918772301
BS_8H3S44QP	0.6003311775267208	0.5058441651524022	0.5535475245769701	0.3971436031996325	0.36381995249550636	0.6249832656625346
BS_8QVFVG0A	0.8101895782247437	0.09963657148663417	0.4710769679358014	0.6469948279309927	0.7016928342676413	0.575101194091805
BS_8TTMM7FE	0.4207018776536318	0.6982486470553815	0.3396573495463219	0.835376564209828	0.6249147681161141	0.5658098341701191
BS_8ZE4Z9G5	0.6523582496249114	0.721765234888276	0.3762979980290218	0.4130237811119226	0.6786270468804563	0.4378279209624252
BS_9A1YTHFF	0.37972799655020134	0.7775654727452417	0.5350677924134309	0.5408145031401093	0.48821434221099125	0.5054460022561216
BS_9B0A62MT	0.32736728271799537	0.7137126900244886	0.5520242324342846	0.3435496281455675	0.6705788220171333	0.45301836576384075
BS_9GJ3DB1H	0.4819451395682732	0.7711017709524582	0.45613134404328354	0.4322656858211017	0.3186934110567344	0.4182436184512895
