sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_0AETXC7D	0.48547362400670313	0.8818047627121849	0.49653811837445133	0.6941007839250043	0.23262622886610085	0.5051317602118462
BS_135GYQQD	0.41014682744367054	0.4738304829278384	0.5250080065884057	0.6233448526551318	0.41737942012049367	0.5168285489726849
BS_2J1VR233	0.500402110351657	0.8930821991502437	0.4994810802233789	0.7701760837789918	0.6071531379969722	0.4338207536898491
BS_2J3SVT5K	0.4778965396741696	0.8791865562694767	0.4938589650611761	0.38464043552847405	0.4728305345987019	0.4816639850590517
BS_3MYEMXPQ	0.35359512244247165	0.7175136784228681	0.4503114034562214	0.494446564023966	0.6547591907299689	0.4317994617685037
BS_4C6B11E4	0.4098978773487757	0.44307789676328585	0.5119227288463206	0.4127246354685538	0.6725970300912475	0.331756995284413
BS_51RA1PGE	0.4290548109128664	0.7698796368750025	0.5895422025965802	0.49232027744364387	0.6080284367258743	0.5247205686609255
BS_59ZJWJTF	0.7281628822467079	0.17510027733265793	0.6078777060566292	0.5347615162678161	0.33365334194843493	0.39527301522196245
BS_6YYC47K2	0.49663643754962844	0.29474719988702164	0.5331374415978138	0.4336398105553434	0.46486974203931586	0.4700791751288379
BS_7PRFPRSA	0.49552765261697973	0.3404317597273951	0.48029634620815226	0.44537934207819296	0.18286683293732875	0.5335393899566154
BS_83RF7CY6	0.4913986474609494	0.48113415844098456	0.5897174819241482	0.2452025680597152	0.6863702378374995	0.395804765785577
BS_8MYS5HP4	0.6105540101100696	0.28159696703420944	0.47214464912626924	0.7458696971881942	0.31528914150968035	0.5307486804166611
BS_8S86CM61	0.371956554431221	0.7065180661540909	0.4624184502209915	0.4359379978700854	0.4448804808645988	0.7570272206537275
BS_99F35CM9	0.5511922244585028	0.9540406544241781	0.5424968472120295	0.6759773636801577	0.4139752901984189	0.5245391392985638
BS_C7A2TYAC	0.39946343415316254	0.4064233545225426	0.5101312126476445	0.7310140943111172	0.7171595633885368	0.440528448258942
BS_CD6WEHG9	0.4131033065513925	0.6660283474900792	0.5589082419517052	0.4049801151972819	0.46664460510672495	0.4918246195261009
BS_D3YBV7KB	0.16753735812556264	0.21276102258702928	0.5311279205910501	0.48007613771426944	0.4779231093677725	0.6644320347238553
BS_DBXCETW2	0.5214211938151045	0.6621739555413824	0.4883317868620717	0.3827626408012483	0.5955302816202682	0.5728319217797521
BS_DERH44Z2	0.5272235795758158	0.15941121758145044	0.48679234598136184	0.25059566361575	0.258389592034281	0.47215643933460266
BS_DHWN3X5S	0.43291143817869476	0.4176584581904543	0.5393079066095552	0.5388889599810396	0.5753755431048256	0.4700088340328513
BS_DYHEFXJC	0.47722769542820653	0.6608151017329097	0.4569634833567661	0.5859522603305192	0.43730899123163136	0.5623502773332472
BS_E1B3BKYA	0.3534118932380338	0.7937500693429818	0.5118865489681791	0.34750200923208546	0.5881063973330246	0.47591932062433506
BS_FJAQ3KAX	0.4539560550578883	0.4872214353230813	0.44874553441403975	0.517135789490647	0.599163350845019	0.42334910722053487
BS_GR7694W1	0.6594327228790177	0.32887028733032186	0.5272956592729358	0.4685878100402242	0.31813079388995813	0.45714291298433374
BS_HKZENFDA	0.31749893542746216	0.6852871071587908	0.4549296275666865	0.4102970605929408	0.4384549802392528	0.46760787581946023
BS_HTEPAKCM	0.34672057982054144	0.6265674843714599	0.4441198911428226	0.5254063138894269	0.6667315254503726	0.5673891489104569
BS_HZRM07TW	0.3274243722219082	0.5682483846105186	0.4567132603465794	0.5765295926502959	0.7061388379694675	0.4904795059087363
BS_KEA474HN	0.349802345675614	0.43644199598946654	0.5165806606907636	0.5309624884768062	0.5536701845223923	0.6227190277622974
BS_KV05J5BX	0.4083036219967476	0.49815123971064373	0.4855522406498054	0.5791964971481469	0.4923587517083647	0.3658566352329946
BS_M0XGZ53Z	0.691566301384819	0.7997286986334763	0.4791985948088655	0.5664653683773964	0.4112426596333368	0.6147246436086986
BS_MEN59ZX5	0.5167469075841893	0.485497346825799	0.5295949070274842	0.5986773692011726	0.6123703014344056	0.44305210292956465
BS_MH01GQ2B	0.4970854987452177	0.43091931687171614	0.42634215773171025	0.48361620114899	0.7706204116557523	0.44807960465785657
BS_NHZ37N5S	0.540357422368871	0.1763370204309423	0.4891847666946412	0.46684156512168123	0.6779262443038739	0.5031913507649619
BS_P10Y42BX	0.3669303728174606	0.5378947640241588	0.4325288826522783	0.6235135901771266	0.3860319360640416	0.42674483413261716
BS_PDH51MYK	0.5088077061932503	0.23158124910499103	0.5031418046094503	0.4696457917946435	0.3934216226209008	0.5298808355813814
BS_Q2T9ZRM0	0.2888511738157473	0.3726862561816915	0.44414579077464944	0.4860193584395977	0.7234212357648757	0.5272795936669794
BS_QYPHA40N	0.5211711556116595	0.07653767933501184	0.5399967223962565	0.6403770598228821	0.30443224493929466	0.48609547420357
BS_SB12W1XT	0.8772758886955535	0.05889627252075196	0.9322318240085455	0.3093461607729906	0.6606712309286871	0.5504235620373036
BS_WSQMAA33	0.6195075244948662	0.22455240575516236	0.5127813845305413	0.6902915855501126	0.5290234135239604	0.5948201238960737
BS_XNGEZT9R	0.5468449230187338	0.30161320265831004	0.4953942352091128	0.6941011965841993	0.5146883775211603	0.4838408396269347
BS_Z28VKGNS	0.3511146958506985	0.5478784741843666	0.45622757018135013	0.307229594134063	0.38329978569701717	0.5041696867140372
BS_Z3BZ01S1	0.3951128617574527	0.634817635163013	0.5080004299592342	0.5208838223301577	0.5214750188328505	0.49457084329355433
