sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
TARGET-10-PAKSWW-03A-02R	0.49199045371481187	0.49596286987682375	0.5582162070009958	0.7042743683714602	0.29240695594632565	0.5795527544242984
TARGET-10-PAKSWW-04A-01R	0.47024667072232285	0.5983818965080859	0.4789609592640827	0.4532058889669467	0.24536178408244502	0.32200805423186946
TARGET-10-PAMXHJ-09A-01R	0.37873122899904144	0.21759215348563699	0.5062247620233183	0.8306073845663855	0.47166927842815626	0.49333435111592655
TARGET-10-PAMXSP-09A-01R	0.3469872369580617	0.5933851391307479	0.49797146128870184	0.5016299722189894	0.8197230129413535	0.6963379978871899
TARGET-10-PANATY-09B-01R	0.6435621107060152	0.34786269451617696	0.44755226456093805	0.7465045323472019	0.7287503734636478	0.5474061966194873
TARGET-10-PANCVR-03A-01R	0.47692277711059766	0.4730072479241645	0.4780818677216941	0.6000566432925183	0.38164014317070727	0.5568996457027431
TARGET-10-PANCVR-04A-02R	0.39493780003400153	0.5931052167799558	0.525518043225072	0.8033463816226374	0.4015796220542008	0.6434229595574553
TARGET-10-PANDBX-09B-01R	0.7056608941344654	0.07094584895077032	0.44013962195057604	0.32136624901431865	0.6104071225671246	0.40348902779171436
TARGET-10-PANDWE-03A-02R	0.4341199462229087	0.7183217817329252	0.4090443421348033	0.37706055613644	0.7685008338004745	0.5391675125439623
TARGET-10-PANEUH-09A-01R	0.4203799627132125	0.5361103044915424	0.3113336143201944	0.47394728307496053	0.5723719601900611	0.5083714979492716
TARGET-10-PANFNZ-03A-01R	0.39675287507095774	0.5776312139179174	0.6041291562609418	0.5229155388834485	0.4305866685618172	0.42355038741074047
TARGET-10-PANGIF-03A-01R	0.35703264062784035	0.6932634585511426	0.37755293639430304	0.7171538548091966	0.6216930402314983	0.5708565246028046
TARGET-10-PANIEU-03A-01R	0.4047896928347529	0.28556867108946293	0.4289535444553197	0.6738528085131972	0.53551778194259	0.6052991625912197
TARGET-10-PANJPG-09A-01R	0.4558447444046247	0.4265378585424164	0.5152496437240188	0.6403223006652791	0.5327784041112417	0.5557894598884917
TARGET-10-PANJWJ-09A-01R	0.41940524487648695	0.4965736563849323	0.43264527241101597	0.5366705386244389	0.4867828510125109	0.53843670139295
TARGET-10-PANKAK-04A-02R	0.3574523253143961	0.8093694232477138	0.4487592803631896	0.7036718232815509	0.6181162013808462	0.4945364487876381
TARGET-10-PANKAK-09A-01R	0.3651419348993828	0.5978789855029207	0.46555563987781673	0.2436533112328919	0.6287534582820934	0.5839584455406375
TARGET-10-PANKDT-03A-01R	0.38785391727320895	0.48422334424168817	0.4682986527096543	0.5132756354780514	0.5513906689684911	0.4760179796351145
TARGET-10-PANKGK-09A-01R	0.336253726357569	0.6965805498211097	0.5772263575142371	0.6172354508736154	0.20407839389601956	0.3905944253131425
TARGET-10-PANKMB-09A-02R	0.35684289753724485	0.38627842302483517	0.3570471199632198	0.3110605921757342	0.22401886626051207	0.4071536196019437
TARGET-10-PANKRG-03A-02R	0.38466742939231535	0.5270785707427597	0.41094527255238406	0.46536349717085684	0.5481397323492424	0.5548686238412696
TARGET-10-PANLGK-03B-01R	0.27558651488140556	0.11069647649583399	0.44833273845135835	0.48073546023087255	0.45131564628244364	0.45618734060471355
TARGET-10-PANLIC-09A-01R	0.41068983754028043	0.41275889562045925	0.4156671454406301	0.7073587618133347	0.5146111419140706	0.4731805472443781
TARGET-10-PANPJI-09A-01R	0.4376599700094054	0.51894723191917	0.5414824734223138	0.4702559244635574	0.6740411597684502	0.5111205932002516
TARGET-10-PANRDC-03A-01R	0.07656444585801828	0.38041272251330693	0.49423322220838267	0.46265172002230026	0.5388339567434486	0.37949229480579744
TARGET-10-PANRWG-09A-01R	0.4017879338844652	0.46572473756350435	0.4777450154539789	0.5681663858682481	0.41991150101754426	0.5271546359848823
TARGET-10-PANRYM-09A-01R	0.3907046042251687	0.3017240776436586	0.4833666949251022	0.5415378415741348	0.5140556873877447	0.4252063599578671
TARGET-10-PANSBK-03B-01R	0.3147672125930545	0.4658368632456441	0.4545612773450378	0.5273353736768944	0.7089723939450252	0.35256677519281404
TARGET-10-PANSBR-09A-01R	0.34015471572452965	0.49718685745624985	0.4262969476630758	0.4931685755165261	0.7125473618593419	0.44649402169887503
TARGET-10-PANSDA-04A-02R	0.5762908043751611	0.6435687316288077	0.4910949692681213	0.3875348232181722	0.5788828980472467	0.37585669953721135
TARGET-10-PANSDA-09A-02R	0.3553298663791392	0.3858193547840835	0.4332267133666791	0.5052975112235603	0.30698050114809	0.43513718330595424
TARGET-10-PANSHK-04A-02R	0.38394667130387683	0.4340876297560179	0.3856684465449873	0.7088985409992413	0.2675873004524089	0.514888766458904
TARGET-10-PANSHK-09A-01R	0.4014726992490671	0.33660389173149907	0.32570739303031726	0.44014000320965857	0.35042193279274875	0.487580134887645
TARGET-10-PANSIA-09A-02R	0.41102967893683984	0.4511294892252626	0.46432376031607764	0.43780840746123917	0.6374258617141979	0.47813567933176615
TARGET-10-PANSPW-09A-01R	0.3681944322582896	0.5113438100695858	0.45764610766586855	0.4896428238028833	0.6736686057484118	0.4524458633205347
TARGET-10-PANSUL-09A-01R	0.36039144857143446	0.6162008067246553	0.44653630473131983	0.41276295060253004	0.5363183837137848	0.5717371504942561
TARGET-10-PANSXG-09A-02R	0.3685109967168744	0.6867324239068913	0.5226726293918946	0.35848361454767896	0.7333973219514834	0.6812365278342564
