Kids_First_Biospecimen_ID	Signature.1A	Signature.1B	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.R1	Signature.R2	Signature.R3	Signature.U1	Signature.U2
BS_MB5K2C19	0	0	0	0	0.10104413953392788	0.21324923865323422	0	0	0.17607613288775484	0	0	0	0.0802285655173395	0	0	0	0	0	0	0	0.06810468728836253	0	0	0	0	0.07223123801262417	0.1897627560895761
BS_N88EQK8Z	0	0	0	0	0.09224164243160657	0.21144111605641425	0	0	0.18265384194084544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09825288424779262	0	0.19967444322539327
BS_46TXYD8H	0	0	0	0	0	0.08137408126778505	0	0	0.07387379672938839	0	0	0	0	0	0	0	0	0	0.11077450543923435	0	0	0	0	0	0.09277770538602395	0	0.5289315822324155
BS_4QH8B0VS	0	0.15990288438392036	0	0.12774281436732715	0	0.35572515520422476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07139900105133655	0
BS_M28HG0NT	0	0	0	0	0	0	0	0	0.16953662766536398	0.06014821966675606	0	0	0	0	0	0	0	0	0.07281684544272368	0	0	0	0	0	0.07498784035008017	0	0.5304376252404044
BS_RM13B4YN	0	0	0	0	0	0	0	0	0.2576417870603276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4283189614755334
BS_T7WMJ08W	0	0	0	0	0	0.6372287624579961	0	0	0.06756211782030846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07999669077409255	0
BS_96S0VQBN	0	0.10973798314786459	0	0.1550800877398539	0	0.3680792027403336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06455732571110213	0.07196031554014362
BS_ZN35MFSR	0	0.1690761566088197	0	0.1599800374074333	0	0.4354555719236231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07266168477355907	0	0	0	0	0	0
BS_GMVP7K9F	0	0	0	0.09358743383118823	0.08767270434502596	0.4729914414696269	0	0	0.08068228199162379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_F064HMTP	0	0.16369358000891754	0	0	0	0.5293282229357378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07594269122554309	0.08713799742888372
BS_CKX0QTD6	0	0.19309840942219367	0	0	0	0.24984439507999495	0	0	0.09945605582610825	0	0	0	0	0	0	0	0.06031163118216959	0	0	0	0	0	0	0	0	0	0.2646512463252252
