Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_MB5K2C19	0	0	0.06776140708455741	0.0839103525096707	0.42927383864469193	0	0	0.13024166191254083	0	0	0	0.08341650225415426	0	0	0	0	0	0	0	0.08253914480312409	0	0	0	0	0	0	0	0	0	0
BS_N88EQK8Z	0	0	0	0.11079179118008169	0.4848416405728302	0	0	0.11365369295963262	0	0	0	0.07996317575170703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_46TXYD8H	0	0	0	0	0.6207422972752691	0	0	0.07597746461218957	0	0	0	0	0	0	0	0	0	0.14242016349994624	0	0	0	0	0	0	0	0	0	0	0	0
BS_4QH8B0VS	0.09658296701485891	0	0.14585040569398625	0	0.49092195157091345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07025962078343627	0	0	0	0	0	0	0	0	0	0
BS_M28HG0NT	0	0	0.0938919766164585	0	0.4835622571214189	0	0	0.14854462172099675	0.09010926661275175	0	0	0	0	0	0	0	0	0.11412636622205166	0	0	0	0	0	0	0	0	0	0	0	0
BS_RM13B4YN	0.07172780689866229	0	0	0	0.5732633320194894	0	0	0.19055465414067	0	0	0	0	0	0	0	0	0	0.10151893428583085	0	0	0	0	0	0	0	0	0	0	0	0
BS_T7WMJ08W	0.0676295369555835	0	0	0	0.7122110728048667	0	0	0.08134505234386105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_96S0VQBN	0.08536296252879436	0	0.1652200102197311	0	0.5037204364928091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZN35MFSR	0	0	0.21183189689954163	0	0.5136651375420453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08094419852034257	0	0	0	0	0	0	0	0	0	0
BS_GMVP7K9F	0	0	0.15940843879443084	0	0.43456574903727524	0	0	0.06111215742193348	0	0	0	0.0741280871344302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_F064HMTP	0.07555542751309115	0	0	0	0.7600406386905721	0	0	0.06138997520837117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_CKX0QTD6	0.1202385026601228	0	0	0	0.6274427391355688	0	0	0.10651959391294843	0	0	0	0	0	0	0	0.06978664469264875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
