Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_N9KWJSW0	WXS	6	88471583	0.06781838638515149
BS_AVXJSWEN	WXS	8	88471583	0.09042451518020199
BS_HJBRXJSN	WXS	43	88471583	0.4860317690935857
BS_Q2NRNKNR	WXS	74	88471583	0.8364267654168684
BS_XE9D080R	WXS	70	88471583	0.7912145078267674
BS_K2SBQ588	WXS	95	88471583	1.0737911177648987
BS_0Q2X74YN	WXS	24	88471583	0.27127354554060595
BS_2RKFDHEG	WXS	91	88471583	1.0285788601747976
BS_1V616KKY	WXS	24	88471583	0.27127354554060595
BS_Z4JW5FGH	WXS	13	88471583	0.14693983716782824
BS_XBP9MG30	WXS	19	88471583	0.21475822355297972
BS_KS1Q0JMA	WXS	20	88471583	0.22606128795050498
BS_8RC93BGZ	WXS	209	88471583	2.3623404590827772
BS_QRTBPSN6	WXS	7	88471583	0.07912145078267674
BS_QF0WQY17	WXS	4	88471583	0.045212257590100995
BS_KMKE92Z2	WXS	30	88471583	0.3390919319257575
BS_J4X5M7X8	WXS	17	88471583	0.19215209475792924
BS_W03RS5G8	WXS	89	88471583	1.005972731379747
BS_P2TV4ZF8	WXS	95	88471583	1.0737911177648987
BS_93WDWT81	WXS	779	88471583	8.80508716567217
BS_02QV7ZWP	WXS	1	78245036	0.01278036347251473
BS_05CHNS17	WXS	17	78245036	0.2172661790327504
BS_0TKQP4XJ	WXS	57	78245036	0.7284807179333396
BS_13DJ6WHW	WXS	44	78245036	0.562335992790648
BS_1B00Q25Y	WXS	13	78245036	0.1661447251426915
BS_1SDWBXX8	WXS	29	78245036	0.37063054070292717
BS_35DRDAFV	WXS	15	78245036	0.19170545208772094
BS_53JGYCCZ	WXS	18	78245036	0.23004654250526513
BS_5XC635HW	WXS	5065	78245036	64.7325409882871
BS_5YTKXXBY	WXS	11	78245036	0.140583998197662
BS_DD69EB5S	WXS	13	78245036	0.1661447251426915
BS_F6YJDSXZ	WXS	31	78245036	0.3961912676479566
BS_HF1TR0QN	WXS	17	78245036	0.2172661790327504
BS_HGKDT5AJ	WXS	305	78245036	3.8980108591169924
BS_PCVV9GJG	WXS	48	78245036	0.613457446680707
BS_W60PB1DS	WXS	20	78245036	0.2556072694502946
BS_YGDHJ68W	WXS	16	78245036	0.20448581556023568
BS_3DV5FVPQ	WXS	14	78245036	0.1789250886152062
BS_AG4BP2PM	WXS	568	78245036	7.259246452388366
BS_AMKQKHJ6	WXS	16	78245036	0.20448581556023568
BS_AN55105E	WXS	191	78245036	2.4410494232503135
BS_BTDQZ60Q	WXS	20	78245036	0.2556072694502946
BS_C5M87D60	WXS	30	78245036	0.3834109041754419
BS_GBXD55F1	WXS	25	78245036	0.3195090868128682
BS_GJ2KS7BT	WXS	14	78245036	0.1789250886152062
BS_GQFPB8F3	WXS	1	78245036	0.01278036347251473
BS_HSXARQ1K	WXS	60	78245036	0.7668218083508838
BS_PZ5WX9TX	WXS	33	78245036	0.42175199459298607
BS_QJHY513X	WXS	23	78245036	0.2939483598678388
BS_S3DSBR9Y	WXS	51	78245036	0.6517985370982512
BS_ST7KGV85	WXS	7	78245036	0.0894625443076031
BS_VS3R7XVV	WXS	30	78245036	0.3834109041754419
BS_XHRV3SAK	WXS	21	78245036	0.2683876329228093
BS_ZV7AC5R8	WXS	34	78245036	0.4345323580655008
BS_007JTNB8	WGS	7	2923762389	0.0023941754043816724
BS_00DBDSHZ	WGS	8	2923762389	0.002736200462150483
BS_00GG0R70	WGS	73	2923762389	0.024967829217123157
BS_00JRW8F2	WGS	2	2923762389	6.840501155376208e-4
BS_00PH2T1P	WGS	18	2923762389	0.006156451039838587
BS_00TRPEQX	WGS	71	2923762389	0.024283779101585537
BS_01BDZ0TW	WGS	33	2923762389	0.011286826906370742
BS_01DCRKR1	WGS	15	2923762389	0.0051303758665321554
BS_01DQH017	WGS	27	2923762389	0.00923467655975788
BS_01Y5F4PN	WGS	9	2923762389	0.0030782255199192934
BS_02VZJ0QK	WGS	17	2923762389	0.005814425982069776
BS_02W5H7K5	WGS	7	2923762389	0.0023941754043816724
BS_02YBZSBY	WGS	10149	2923762389	3.4712123112956563
BS_02ZSVZCB	WGS	2787	2923762389	0.9532238360016745
BS_03SSN1N2	WGS	39	2923762389	0.013338977252983605
BS_042DVDQM	WGS	20	2923762389	0.006840501155376207
BS_04B8X54S	WGS	9	2923762389	0.0030782255199192934
BS_04KM3N3S	WGS	2	2923762389	6.840501155376208e-4
BS_05S9WJW6	WGS	60	2923762389	0.020521503466128622
BS_060QB7XB	WGS	12	2923762389	0.004104300693225724
BS_06GEF6DB	WGS	16	2923762389	0.005472400924300966
BS_06GPPDHZ	WGS	22	2923762389	0.007524551270913828
BS_08127AYS	WGS	12	2923762389	0.004104300693225724
BS_083RF2ZE	WGS	1	2923762389	3.420250577688104e-4
BS_08E29S8P	WGS	7	2923762389	0.0023941754043816724
BS_08R73HQ3	WGS	8	2923762389	0.002736200462150483
BS_090GV72Q	WGS	8	2923762389	0.002736200462150483
BS_0A5H37YE	WGS	30	2923762389	0.010260751733064311
BS_0A5Z5YKD	WGS	6	2923762389	0.002052150346612862
BS_0AK4F99X	WGS	24	2923762389	0.008208601386451448
BS_0ATJ22QA	WGS	28	2923762389	0.00957670161752669
BS_0DKPGQWD	WGS	5	2923762389	0.0017101252888440518
BS_0E8WBZBF	WGS	10	2923762389	0.0034202505776881036
BS_0EN5R1AP	WGS	14	2923762389	0.004788350808763345
BS_0FQKT8EY	WGS	65	2923762389	0.022231628754972674
