Kids_First_Biospecimen_ID	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
BS_ZV7AC5R8	0	0	0.8832471883763997	0	0	0	0	0	0.11675281162360031	0	0
BS_ZSH09N84	0	0.09487650136374517	0.21421183784194783	0	0	0	0	0	0.48005485761032	0	0.21085680318398706
BS_Z64NEPNE	0	0	0.09770103679900806	0	0	0	0.21634912692687125	0	0.3212284927490706	0.15720398277490666	0.15546202906258194
BS_Z61JVJ03	0	0	1	0	0	0	0	0	0	0	0
BS_Z3AB3KMP	0	0	0.17594946484325322	0	0	0.14959975688416915	0.2508869950119545	0.08328760233620161	0.2924896408198227	0	0
BS_YZD4SSMA	0	0.06884443024931182	0.19598451403035574	0.1743670954166847	0	0.0874966493547681	0	0	0.25193229896788794	0	0.16774898828098228
BS_YHXMYDBN	0	0.12739237673703802	0.1485787760962096	0.12789507885351475	0	0	0.3083323317907847	0	0.11225659925466111	0	0.17554483726779183
BS_Y96RP1HJ	0	0	0.118389336668907	0	0	0.1716761179104888	0	0	0.3780621591760638	0	0.2322335516943116
BS_Y74XAFJX	0	0.062196458898628265	0.23223060355544922	0	0	0	0.3467191361989246	0	0.35885380134699796	0	0
BS_Y0DGBKTY	0	0	0.7807861739526608	0	0	0	0	0	0.21921382604733922	0	0
BS_XQF18WZP	0	0	0.06198299555715716	0	0.08523176708898833	0	0.2554809156547519	0	0.4246572994329386	0.14726177673009627	0
BS_XPZAD9PP	0	0	0.27557850990028937	0	0	0	0	0	0.7244214900997106	0	0
BS_XNYQS1WG	0	0	0.15223401737832212	0	0	0.16140009660475296	0	0	0.31575229946674016	0.09939363519211203	0.23094837721064038
BS_XNYH7VK6	1	0	0	0	0	0	0	0	0	0	0
BS_X8YB5G5J	0	1	0	0	0	0	0	0	0	0	0
BS_X6H86RTA	0	0	0.17559546966617529	0	0	0	0.2631125605320205	0	0.30076947043688684	0	0.21802901307442016
BS_X5VN0FW0	0	0.1832508921422055	0.07261200462884311	0.12876408061224273	0.0654220706016182	0.17374948447060717	0.19093122484208142	0	0.0966608029274668	0	0.08860943977493506
BS_X1TRW9RH	0	0	0.3235444326403793	0	0	0	0	0	0.6764555673596208	0	0
BS_WPV7N6NQ	0	0	0.2224918377010019	0	0	0	0	0	0.777508162298998	0	0
BS_W60PB1DS	0	0	1	0	0	0	0	0	0	0	0
BS_VXDGXQKZ	0	0.10515290707764821	0.1594003318610532	0.2850417642216006	0	0	0	0.14581878388622155	0.20915032988779134	0.09543588306568514	0
BS_VCE73HPW	0	0	0.07582255502228137	0	0	0	0.18658107549366879	0	0.40427502213272193	0.10166192762460981	0.19977979986047548
BS_TYFD8ZMG	0	0	0.3336441047353129	0	0	0	0	0	0.6663558952646871	0	0
BS_TQ0J7WJQ	0	0.15338477956118565	0.15580874582767107	0	0	0	0.35643450680389627	0	0.33437196780724715	0	0
BS_TN8CGS84	0	0	0.29778579319869936	0	0	0	0	0	0.4069612030767662	0	0.24881888566995516
BS_S3DSBR9Y	0	0	0.5951013163950619	0	0	0	0	0	0.404898683604938	0	0
BS_RWJ0571Q	0	0	0.22244537224003014	0	0	0	0.170608207284567	0	0.3409398272891303	0	0.1479645183167185
BS_R7H6ZV8M	0	0	0.2916244233295451	0	0	0	0	0	0.5804384731676194	0.12793710350283538	0
BS_R6CKWZW6	0	0	0.09528702019415139	0	0	0	0.23340125292876168	0	0.361415704388433	0	0.26070533704286003
BS_QZRP3NSG	0	0.08867260335718491	0	0.13083656618492043	0	0.1822024527888537	0.17979914886245746	0	0.08568690312763753	0	0.2770299554445512
BS_QZPGVNBB	0	0	0.3336441047353129	0	0	0	0	0	0.6663558952646871	0	0
BS_QJHY513X	0	0	1	0	0	0	0	0	0	0	0
BS_QFH9XM6Q	0	0	0.1384509414224402	0	0	0.16123547988304635	0	0	0.3044706267802177	0.08709640665541277	0.1823693058428368
BS_Q6GVRAWK	0	0.11180014613997724	0.3982816793856663	0	0	0	0	0	0.48991817447435654	0	0
BS_QF7M4SHH	0	0	0.10937054520232987	0	0	0	0	0	0.8906294547976701	0	0
BS_PZ5WX9TX	0	0	0.5951013163950619	0	0	0	0	0	0.404898683604938	0	0
BS_NNFDFAFM	0	0.06049539801470844	0.23213665691001278	0.11371512720281485	0	0	0.3824294711413534	0	0.2112233467311105	0	0
BS_M5FM63EB	0	0	0.18510628739562518	0	0	0	0.38057731892291363	0	0.43431639368146124	0	0
BS_M0B42FPR	0	0	0.28120191615683227	0	0	0	0.3072041981326611	0	0.41159388571050665	0	0
BS_KQRAHH6Y	0	0	0.16095828579263094	0	0.09704984799646854	0	0.2706703947241405	0	0.2878570144078083	0	0.15163696147011085
BS_K24D4BGK	0	0	0.4404567349631722	0	0	0	0	0	0.5595432650368278	0	0
BS_KQPCYZ2K	0	0.07315383799353803	0.15100913506348754	0	0	0.11084720804427606	0.17578071731234937	0.08007368986255461	0.27687756175453065	0	0.10051956093975246
BS_KHJMCFQR	0	0	0	0	0	0	0	0	0	1	0
BS_JRFVST47	0	0	0	0.16215190232962953	0	0.1579041579067954	0.1639171826704386	0	0.2811665418389667	0	0.2072838841806195
BS_JEZBA2EW	0	0	0.16112272453999663	0	0	0.13585016254346344	0.20555838445456515	0.2196217333491321	0.1878376293765772	0	0
BS_JD05XR6E	0	0.08027938462700854	0.23679291706282252	0	0	0	0.22756087742846356	0	0.20042296943310264	0	0.20363086359207425
BS_JDZX545X	0	0.08480155882201529	0.381490819260124	0	0	0	0	0	0.5337076219178606	0	0
BS_JCWD4DMA	0	0	0.5418789232995066	0	0	0	0	0	0.45812107670049335	0	0
BS_J8EK6RNF	0	0.12941678404130816	0	0.09865274387211254	0	0.21092760103979738	0.13488339831683124	0	0.10873465955491426	0	0.26431827857943296
BS_J8EH1N7V	0	0.10773502190314072	0.151953882232631	0	0	0	0.3922398068297014	0	0.34807128903452683	0	0
BS_HYKV2TH9	0	0.15282358689690523	0	0.18376369641983303	0	0	0.20751301659080065	0	0.161089316420787	0	0.2405486038711665
BS_HSXARQ1K	0	1	0	0	0	0	0	0	0	0	0
BS_HF1TR0QN	0	0	0.4256301154053271	0	0	0	0	0	0.5743698845946729	0	0
BS_HGKDT5AJ	0	0	0.3956244341680505	0	0	0	0	0	0.6043755658319494	0	0
BS_HEJ72V3F	0	0.11355160402037386	0.07172890282395723	0.165949397037098	0	0	0.26456363555853235	0	0.19041385604711408	0	0.19379260451292452
BS_H8NWA41N	0	0.06466708695204297	0.36224881497524697	0	0	0	0.30680301759877093	0	0.26628108047393917	0	0
BS_GKXD33YH	0	0	0.3759163807130652	0	0	0	0	0	0.6240836192869348	0	0
BS_G65EA38C	0	0	0.28126823019467845	0	0	0	0	0.12633277776538906	0.3358425334644749	0	0.2565564585754576
BS_FWP8ZA4K	0	0	0.7807861739526608	0	0	0	0	0	0.21921382604733922	0	0
BS_FK3B5SDH	0	0	0.20460983354462353	0.17406118961265413	0	0.2609714403952858	0	0	0.3009312704393452	0	0
BS_G5VS97AD	0	0	0.3336441047353129	0	0	0	0	0	0.6663558952646871	0	0
BS_F6YJDSXZ	0	0	1	0	0	0	0	0	0	0	0
BS_EE73VE7V	0	0.06878676763421587	0.2324662611279726	0	0	0	0	0	0.35175160691993473	0	0.34699536431787675
BS_DVDT4VXQ	0	0.06868634844257325	0.11929366228240051	0	0	0	0.3357803289327487	0	0.24582712242422677	0	0.23041253791805083
BS_DD69EB5S	0	1	0	0	0	0	0	0	0	0	0
BS_DRVEFVQ5	0	0	0.1368050612839601	0.06323226201901527	0	0.17551524892642445	0.17363827911899746	0	0.2562951016226244	0	0.172905273463393
BS_D6STCMQS	0	0.1652467755708875	0	0.09881039694413382	0	0.10771744580898553	0.1341972215468197	0	0.09894806243196251	0	0.3020644723317307
BS_CX6KACX6	0	0	0.4511747928986473	0	0	0	0	0	0.5488252071013526	0	0
BS_CGXTFM67	0	0	0.22553869492397588	0	0	0	0	0	0.4394221704922383	0	0.3350391345837857
BS_CD7AXQM8	0	0	0.16383110119349512	0	0.08422256299827413	0.17895584731223566	0	0	0.220018827285861	0	0.2611747457270233
BS_CBMAWSAR	0	0.14954752457154405	0.2871669192973663	0	0	0	0	0	0.5632855561310897	0	0
BS_C5M87D60	0	0	0.40070612746102013	0	0	0	0	0	0.5992938725389799	0	0
BS_CA4CRZKP	0	0	0.10021033644564857	0.12546451823361038	0	0	0.2121491182966892	0	0.21004235374194194	0	0.2073685437445034
BS_BQ81D2BP	0	0	0.125206605556896	0	0	0	0.3744377111671411	0	0.5003556832759629	0	0
BS_B4PPG3X5	0	0	0.2732207612350237	0	0	0	0	0.15030982996549533	0.5220904396407654	0	0
BS_B19AWBBW	0	0	0.23007396652114215	0	0	0.24773423634371672	0	0	0.5221917971351412	0	0
BS_AMKQKHJ6	0	0	1	0	0	0	0	0	0	0	0
BS_AK9BV52G	0	0.37665927783161635	0.062244041975579915	0.083802482017266	0	0.08850850773733249	0.14306291683558064	0	0.105654830460987	0	0.14006794314163754
BS_AHAXPFG3	0	0.11471118410711349	0.06422296574606429	0.0967774554690739	0.07922909624131805	0.1045814226593033	0.17963266629310096	0	0.1376744653969007	0	0.2231707440871254
BS_AH3RVK53	0	0	0.15929205886530046	0	0	0	0.25575543098979303	0	0.3119888741009902	0	0.23689425443723539
BS_AG4BP2PM	0	0.2941040111242221	0.28016261106577883	0	0	0	0	0	0.42573337780999904	0	0
