Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Participant_ID	MYCN_TPM	MYCN_CN	MYCN_CN_status	sample_id	cohort	match_id	pathology_free_text_diagnosis
BS_BF83XX7P	NA	PATSCT	NA	3	gain	01	GMKF	PATSCT_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_BHKAK446	NA	PASZYY	NA	203	amplification	01	GMKF	PASZYY_01_Solid Tissue_Primary Tumor	MYCN amp
BS_CG9KDK95	NA	PASTHB	NA	NA	NA	01	GMKF	PASTHB_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_CGGJZ5Q1	NA	PASHLP	NA	NA	NA	01	GMKF	PASHLP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_CH0ZV29W	NA	PASREV	NA	3	gain	09	GMKF	PASREV_09_Bone Marrow_Primary Tumor	MYCN amp
BS_CP8741SX	NA	PATRNL	NA	3	gain	01	GMKF	PATRNL_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_CPGZYTHM	NA	PASLTH	NA	NA	NA	01	GMKF	PASLTH_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_CQ40NN4X	NA	PATSVA	NA	23	amplification	01	GMKF	PATSVA_01_Solid Tissue_Primary Tumor	MYCN amp
BS_CQC29CK5	NA	PAVAHC	NA	3	gain	01	GMKF	PAVAHC_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_D3N3FG7Y	NA	PATCFL	NA	NA	NA	01	GMKF	PATCFL_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_D7442ACV	NA	PATBMM	NA	NA	NA	01	GMKF	PATBMM_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_D8H43Q28	NA	PASFHI	NA	NA	NA	01	GMKF	PASFHI_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_D9BP1QN2	NA	PATTWT	NA	NA	NA	01	GMKF	PATTWT_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_DAX3YVG0	NA	PAUXPT	NA	NA	NA	01	GMKF	PAUXPT_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_DHC9SHF6	NA	PAUTRA	NA	3	gain	01	GMKF	PAUTRA_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_E2EXBFN7	NA	PAURCX	NA	NA	NA	01	GMKF	PAURCX_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_E4V8XN3G	NA	PATIYD	NA	3	gain	09	GMKF	PATIYD_09_Bone Marrow_Primary Tumor	MYCN amp
BS_E7CRT00M	NA	PATXHB	NA	NA	NA	01	GMKF	PATXHB_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_EE2YW499	NA	PATPXF	NA	NA	NA	01	GMKF	PATPXF_01_Solid Tissue_Primary Tumor	MYCN non-amp
