Kids_First_Biospecimen_ID	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
BS_JTNTWJMD	0	0	0.09621422483384767	0	0	0.07726191813629493	0.21133949929641685	0	0.4478023944666937	0	0.14287497346294473
BS_A9Q65W4Q	0	0.23342759976558347	0	0	0	0	0.23686924171293525	0	0.1439976906709946	0.11338353031046337	0.22334578148270426
BS_4Z3H3JP7	0	0	0.16336742051816008	0	0	0	0	0	0.8366325794818399	0	0
BS_G2NSPNKD	0	0	0.24749640736809758	0	0	0	0	0	0.7525035926319025	0	0
BS_J0MSENGZ	0	0	0.5714649664657944	0	0	0	0	0	0.4285350335342057	0	0
BS_EVYV74CP	0	0	0.42352174260601655	0	0	0	0	0	0.5764782573939834	0	0
BS_05CHNS17	0	0	1	0	0	0	0	0	0	0	0
BS_0AK4F99X	0	0	0.2391934153881342	0	0	0	0	0	0.41087945276681104	0.06610330708014397	0.2838238247649108
BS_0ATJ22QA	0	0.11487350908036686	0.09077233717680165	0.12226704043368772	0	0	0.25059721192779383	0	0.196340758644729	0	0.2251491427366209
BS_0TKQP4XJ	0	0	1	0	0	0	0	0	0	0	0
BS_13DJ6WHW	0	0	0.39727903124773234	0	0	0	0	0	0.6027209687522675	0	0
BS_169P1QCA	0	0	0.09844511791291734	0	0	0	0.2688631586730329	0	0.33136733010026764	0	0.20901221952899693
BS_18RH1034	0	0	0.2607303999390142	0	0	0.1370279731010852	0	0	0.32387002820477684	0.06277335867402194	0.18787910397984298
BS_1MME7FBS	0	0	0.2040542150840546	0	0	0	0	0	0.7959457849159454	0	0
BS_1Q524P3B	0	0.16352553077902948	0	0.15515264301349257	0	0.10672513881227046	0.14950808084838205	0	0.1560328792375045	0	0.17602437973272791
BS_22VCR7DF	0	0.13872100883134286	0	0.16888464726814828	0.09079939766515266	0.07223342094562671	0.09808962829511472	0	0.06790332969677738	0.07126647761555881	0.2921020896822785
BS_2DNGDW0A	0	0	0.45677685693993786	0	0	0	0	0	0.5432231430600621	0	0
BS_2NDRETB2	0	0	0.12448292122806714	0	0	0.16707775293388089	0.19446935370619023	0	0.22360767444401977	0.06110925201160422	0.1835642538777672
BS_2X60Q1ET	0	0	0.13853606947112304	0	0	0	0.3857042412741818	0	0.29888863780689556	0.17687105144779955	0
BS_38CD519Z	0	0.06734971354344206	0.16878045206867634	0.06057880189727292	0	0	0.24328806191497254	0	0.18238191910010082	0	0.27762105147553534
BS_3DV5FVPQ	0	0	1	0	0	0	0	0	0	0	0
BS_3VKW5988	0	0	0.29123006104033117	0.1732028656372954	0	0	0	0	0.5355670733223734	0	0
BS_3Z40EZHD	0	0	0.0867142110665624	0	0	0.1667698876176578	0.1631495208179799	0	0.3808239107197362	0	0.13066536020445865
BS_402W79TS	0	0	0.16336742051816008	0	0	0	0	0	0.8366325794818399	0	0
BS_4DQAQFQH	0	0.07728398816653993	0.06937886077220211	0	0	0	0.23856508971984702	0.14941745538703816	0.17517866972521678	0	0.2312294248737201
BS_4DYW3T2A	0	0	0.23734571917319913	0	0	0	0.3169171178350723	0	0.41071451025536915	0	0
BS_4PM2QG9C	0	0	0.19293479337012798	0	0	0	0.2542943341074935	0	0.2700609705454192	0.0614978960582246	0.22121200591873466
BS_541KKASA	0	0	0	0	0	0	0	0	0.1119829846703697	0	0.8519093056035162
BS_5968GBGT	0	0.1391405871921853	0.1812155785458772	0	0	0	0.3298895690300475	0	0.3497542652318899	0	0
BS_5FBN4PPQ	0	0	0.5971884810209059	0	0	0	0	0	0.402811518979094	0	0
BS_5XC635HW	0	0	0.30089544009365154	0	0	0	0.3211211838902678	0	0.3779833760160808	0	0
BS_5Z0GA574	0	0	0	0	0	0.12049392679220518	0.2677534383266789	0	0.21855867068193122	0.12017085904032372	0.17200042386166717
BS_6687ZNGS	0	0	0.3336441047353129	0	0	0	0	0	0.6663558952646871	0	0
BS_682Z7WH6	0	0	0.0930007894382793	0	0.08306352207720724	0	0.26049516463485234	0	0.29533424069140884	0	0.21830987604253718
BS_6B62YT97	0	0	0.33596185179303883	0	0	0	0	0	0.6640381482069612	0	0
BS_6DT506HY	0.3157447659423698	0	0.4731934052550171	0	0	0	0	0	0	0	0.21106182880261307
