Kids_First_Biospecimen_ID	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
BS_ZZJF26C4	0	0	0.13258859176765433	0	0	0.194221940705987	0.20427013693415672	0	0.24556716328069134	0	0.18024482176998416
BS_ZX1YPQ88	0	0	0.2822844220669135	0	0	0	0	0	0.5833302500690175	0.13438532786406898	0
BS_ZV21J6YW	0	0.0812206049086726	0.21008891881807643	0	0	0	0	0	0.37799372667270614	0	0.33069674960054485
BS_ZSH09N84	0	0.09487650136374517	0.21421183784194783	0	0	0	0	0	0.48005485761032	0	0.21085680318398706
BS_ZS1QRMXS	0	0	0.11113944035592077	0	0	0	0	0	0.2641249330060422	0.3115083091132131	0.31322731752482397
BS_ZR75EKKX	0	0.14418968924556017	0.18253859847179893	0.12618544900843012	0.11673075304485436	0	0	0	0.21435288721205142	0	0.21600262301730502
BS_ZPF89720	0	0	0.08635639353065835	0	0	0	0.2703570078386305	0	0.47880596893713934	0.16448062969357197	0
BS_ZP89F1JY	0	0	0.25396153761778284	0	0	0	0	0	0.4045069689948237	0	0.3415314933873934
BS_ZKZACPVV	0	0.22929721901439007	0.3034980798406542	0	0	0	0	0	0.4672047011449557	0	0
BS_ZKFEMJZ8	0	0	0.3544052558395296	0	0	0	0	0	0.6455947441604704	0	0
BS_ZJZFT0AJ	0	0	0.16846605557948177	0	0.07098806366827788	0	0.17570310801068142	0	0.24763178158931246	0	0.23550625821737228
BS_ZJT1REVB	0	0	0.36098120120547167	0	0	0	0	0	0.6390187987945284	0	0
BS_ZJSMC22A	0	0	0.15915380068004678	0	0	0	0	0	0.6282986810470845	0	0.21254751827286875
BS_ZHJFX6C9	0	0	0.3558756711649013	0	0	0	0	0	0.6441243288350987	0	0
BS_ZH6PC8KM	0	0	0.2332564017264285	0	0	0	0.351249159582611	0	0.4154944386909605	0	0
BS_ZECKZTFC	0	0	0	0	0	0	0.5274217102747919	0	0.42106439908537024	0	0
BS_ZCY4ECNV	0	0	0.2749737694593378	0	0	0.25554440568943937	0	0	0.4233941064057867	0	0
BS_ZBWQG7VR	0	0.07097437217878994	0.22920411808536714	0.07854611673508988	0	0	0	0	0.5412369321067153	0.08003846089403771	0
BS_ZAT0XJE5	0	0.08418386481725161	0.33670635842703245	0	0	0	0	0	0.579109776755716	0	0
BS_ZAH4FHV2	0	0	0.17679147675149784	0	0	0	0	0	0.42123285374805924	0	0.3476175442378007
BS_Z9PKZ4RT	0	0.06509258676753257	0.38054373350076276	0	0	0	0	0	0.5543636797317048	0	0
BS_Z9NCH2XA	0	0.06779326669832982	0.08216677417477293	0	0.1269814604656484	0	0.4306048861070685	0	0.29245361255418034	0	0
BS_Z7R92XX6	0	0	0.08623450182047365	0	0.2520838260071111	0	0.12922108250969105	0	0.13862956139842345	0	0.3689602460864555
BS_Z61JVJ03	0	0	1	0	0	0	0	0	0	0	0
BS_Z5VJCFNP	0	0.10444894070344637	0.12153098105478527	0.12478565499576204	0	0	0.14660144713620804	0	0.21690366015231446	0	0.22970736086280596
BS_Z5D6G1S6	0	0	0	0	0	0	0.24690574670537926	0	0.36732392026053434	0.1507198658760072	0.18973627648250666
BS_Z4S81HG1	0	0.0954015897689063	0.31258437945624695	0	0.279095046921878	0	0	0	0.3129189838529688	0	0
BS_Z4Q8RH5M	0	0	0.3701438448470633	0	0	0	0	0	0.6298561551529367	0	0
BS_Z34PQDYT	0	0	0.2842027539605715	0	0	0	0.3234308434327871	0	0.39236640260664135	0	0
BS_Z1BBZ01F	0	0	0.2060418675782061	0	0	0	0	0	0.5476745765748411	0	0.2462835558469529
BS_Z14Z2JMW	0.08163181173223363	0	0.3374902970619905	0	0	0	0	0	0.313364989333638	0	0.26751290187213794
BS_YZD4SSMA	0	0.06884443024931182	0.19598451403035574	0.1743670954166847	0	0.0874966493547681	0	0	0.25193229896788794	0	0.16774898828098228
BS_YZ2YNEJJ	0	0	0.17302385610151585	0	0	0	0	0	0.4123667864251095	0	0.4146093574733747
BS_YZ0P5E8H	0	0	0.34405907352797477	0	0	0	0	0	0.40443909868539674	0	0.20663423048220497
BS_YYAPSA5P	0	0	0.2920085753625367	0	0	0	0	0	0.7079914246374633	0	0
BS_YXCVR90M	0	0	0.26808619479730733	0	0	0	0	0	0.4539403257370366	0	0.27797347946565615
BS_YVFFHJ1Q	0	0	0.2666207558940772	0	0	0	0	0	0.3669840317965236	0	0.36639521230939925
BS_YRC54VPP	0	0	0.3710335353979783	0	0	0	0	0	0.6289664646020218	0	0
BS_YPCTK927	0	0	0.21396480985903443	0	0	0	0	0	0.46869615668832276	0	0.3173390334526427
BS_YMDPFK0V	0	0	0.16963207711519396	0	0	0	0.3485265955528895	0	0.19904852451071722	0	0.28279280282119923
BS_YKQP4SBX	0	0	0.31152129628984987	0	0	0	0	0	0.43702370582018807	0	0.25145499788996206
BS_YHXMYDBN	0	0.12739237673703802	0.1485787760962096	0.12789507885351475	0	0	0.3083323317907847	0	0.11225659925466111	0	0.17554483726779183
BS_YH60H2FS	0	0	0.3929974814244597	0	0	0	0	0	0.6070025185755402	0	0
BS_YH4DYNQ2	0	0.14366753742137314	0.3043759718867337	0	0	0	0	0	0.5519564906918931	0	0
BS_YGQS4660	0	0.1603564534560586	0.30374105043969774	0	0	0	0	0	0.5359024961042437	0	0
BS_YEWX69X4	0	0	0.3005186206241576	0.09958526561350267	0	0	0	0	0.2950016229014371	0	0.25469374053552346
BS_YETTZ1NC	0	0.13594148091842617	0.1417659734280026	0	0.3540656134753334	0.1053571659723683	0.07356088553213672	0	0.13536531448700792	0	0
BS_YBCQBCQC	0	0.18000356195616657	0	0.06993900009090347	0	0.1612384707923847	0.1321158875102821	0	0.22477865798878213	0	0.18456777705484317
BS_YB99Q6TN	0	0.09296940164323934	0.2898107610634288	0	0	0	0	0	0.6172198372933319	0	0
BS_Y9GHDZKS	0	0	0.12199648847544452	0	0	0	0.37939302827322	0	0.1938616705349923	0	0.30474881271634313
BS_Y7CA8B5R	0	0	0.09775098684705755	0	0	0	0.4990439085088399	0	0.40320510464410264	0	0
BS_Y74XAFJX	0	0.062196460012656676	0.2322305912066559	0	0	0	0.3467191410060996	0	0.35885380777458786	0	0
BS_Y5DA59M3	0	0.08128835556132395	0.19340119204745793	0	0	0	0.33779276966108457	0	0.38751768273013354	0	0
BS_Y4ZX0YX7	0	0	0.4466922691358789	0	0	0	0	0	0.5533077308641211	0	0
BS_Y43VC4VG	0	0.07219373045956862	0.3617277354083424	0	0	0	0	0	0.566078534132089	0	0
BS_Y3ETG5AE	0	0.06302309793815067	0.1510522860152318	0	0.19017034698209181	0	0.2516962604439091	0	0.16260549913004582	0	0.18145250949057076
BS_Y3472DYJ	0	0.11447047182846543	0.1596871447393056	0	0	0	0.5701069580469041	0	0.1557354253853249	0	0
BS_Y2C78JC4	0	0	0.2752274644447209	0	0	0	0.34743325595376456	0	0.3773392796015144	0	0
BS_Y0DGBKTY	0	0	0.7807861739526608	0	0	0	0	0	0.21921382604733922	0	0
BS_XWQTX5HH	0	0	0.17160851411094125	0.11712562552932061	0	0	0	0	0.5202365679503779	0.19102929240936026	0
BS_XW26N96W	0	0.06609186798887595	0.33003871291765496	0	0	0	0	0	0.4844927600263818	0.11937665906708732	0
BS_XVYRXN8J	0	0	0.24760396049238598	0	0.06284096870433488	0	0	0	0.42525142975599234	0	0.2643036410472868
BS_XVNNWN2Z	0	0	0.46322756334128595	0	0	0	0	0	0.5367724366587139	0	0
BS_XVBX7ZK1	0	0	0.3595274346564826	0	0	0.28367812384179947	0	0	0.35679444150171796	0	0
BS_XSWF2MR1	0	0	0.3730248007203245	0	0	0	0	0	0.6269751992796755	0	0
BS_XPZAD9PP	0	0	0.27557850990028937	0	0	0	0	0	0.7244214900997106	0	0
BS_XPSD2NRJ	0	0.07259546922033336	0.23635519014309167	0	0	0	0	0	0.39298805861832087	0	0.29806128201825405
BS_XNYH7VK6	1	0	0	0	0	0	0	0	0	0	0
BS_XNTQBZAJ	0	0.12387510561627117	0.17063010746050802	0	0.08648424090870817	0	0.15410351752621426	0	0.39478962716412624	0.0701174013241722	0
BS_XMP9XNR9	0	0	0.13663473023309855	0.21533560700608342	0.07551560705812331	0	0.12635207253365133	0	0.2663834114800529	0	0.12357694110190177
BS_XMNBSBGN	0	0	0.256992790749059	0	0	0	0	0	0.4469788173028258	0	0.29602839194811514
BS_XM302FF4	0	0.08658383671705532	0.2978885634832279	0	0	0	0	0.2706056983225862	0.34492190147713064	0	0
