Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_ZJT1REVB	0	0	0.060753025007999055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13501688790571295	0	0	0	0	0	0	0	0	0.08707597475249208	0	0	0	0	0.06870492422758845	0	0	0	0	0	0	0	0.19576184271616787	0	0	0	0	0	0	0	0	0	0	0.10900335474703293	0	0	0	0.08662986473447754	0	0	0	0	0	0	0	0	0	0
BS_ZJSMC22A	0	0	0	0	0.3139380057951359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15483102579279126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZHJFX6C9	0	0	0	0	0	0	0	0	0	0	0.09613721491270623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20620195402642885	0	0	0	0	0	0	0.06085366885940478	0	0	0	0	0	0	0.08948797632896413	0	0	0	0	0.07543787348853238	0	0	0	0	0	0.06739753697228765	0	0	0	0	0	0	0	0	0	0	0	0.09755539637264876	0	0	0	0	0	0	0	0	0	0
BS_ZH6PC8KM	0.19183823418400806	0	0	0	0.3298692310776803	0	0	0	0	0	0.10976258749355036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07981902261199299	0	0	0	0	0	0
BS_ZECKZTFC	0.1848893859631857	0	0	0	0.20220789857196564	0	0	0	0	0	0.06893809608290956	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08570162576741532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZCY4ECNV	0.0929552879602107	0	0	0	0	0	0	0	0	0	0.28756756865372524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19122224711392222	0	0	0	0.06041979128636111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZBWQG7VR	0.16073126741471058	0	0	0	0.30847425485059454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06324718840875068	0	0.08143290322602761	0	0.07656611937200633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZAT0XJE5	0.19506602401370457	0	0	0	0	0	0	0	0	0	0.08272785148852332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1649383333048825	0	0	0	0	0	0	0	0	0	0.0713631035568981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZAH4FHV2	0.06477311472747162	0	0	0	0.23878446686702812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12641140446848254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z9PKZ4RT	0.12548553271465107	0	0	0	0.12268003608995906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16077965567606273	0	0	0.32246831553696637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z9NCH2XA	0.10321662107297544	0	0	0	0.27341212056478037	0	0	0	0	0	0.23004984124435837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07605371523857314	0	0	0	0	0	0
BS_Z8GRJ71M	0	0	0	0.11165685737395949	0	0.17795362700901488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07023719550645528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07824859768681683	0	0	0	0	0	0	0	0	0.27848587742434067	0	0	0	0	0	0	0	0
BS_Z7R92XX6	0	0.10091922541873084	0	0	0.08524170152510795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0731151932006028	0	0	0	0	0	0.13202614260261208	0	0	0	0.08485053986087322	0	0	0	0	0	0	0	0	0.06543324580918819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z61JVJ03	0.17255191511649628	0	0	0	0	0	0.0831921323641417	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3420532397188769	0	0	0	0	0	0	0.0945423720151197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z5VJCFNP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11243660981030745	0	0.13655285584959007	0.5169849974333358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z5D6G1S6	0.09092502372186427	0	0	0	0.14425166601970332	0	0	0	0	0	0.14565709536739627	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07799837463257979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07495345940683991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z4S81HG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09498359170682222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16910053082851775	0	0	0	0.07849053961003316	0	0.12208225798214822	0	0	0.26007464507178574	0	0	0	0	0	0	0.07358225208663693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z4Q8RH5M	0.08082813041181039	0	0	0	0.15494058899006993	0.07137122505386337	0	0	0	0	0.13365219638773387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12103837434452556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11817047151375296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z34PQDYT	0.13067628622689131	0	0	0	0.20358571582701387	0	0	0	0	0	0.16606992815936006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07028779741323192	0	0	0	0	0	0
BS_Z1BBZ01F	0.10284132855952959	0	0	0	0.18938893639138685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11602123055420334	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091058977058149	0.09069433638809468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z14Z2JMW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061807078923598775	0	0	0	0	0.13783669011956096	0	0	0	0	0	0	0.07303875111689709	0	0	0	0	0	0	0	0	0	0	0	0.18883340263196638	0	0	0	0	0	0	0	0	0	0	0	0	0	0
