sample	caller
BS_A1DV9T7G	gatk
BS_A56NFNSJ	cnvkit
BS_A86314EJ	cnvkit
BS_A94A7EJ4	freec
BS_A94A7EJ4	gatk
BS_A9Q65W4Q	gatk
BS_A9S5HT6P	cnvkit
BS_A9S5HT6P	freec
BS_A9S5HT6P	gatk
BS_ABZC437A	freec
BS_ACE6QKVF	freec
BS_AF5D41PD	cnvkit
BS_AFAHY6HP	cnvkit
BS_AFAHY6HP	gatk
BS_AFBPM6CN	cnvkit
BS_AFBPM6CN	gatk
BS_AFPZ71DG	freec
BS_AGD2ATY1	cnvkit
BS_AHT9PKVE	cnvkit
BS_AHT9PKVE	freec
BS_AHT9PKVE	gatk
BS_AK9BV52G	cnvkit
BS_AM2TZPNS	cnvkit
BS_AM8HDWQZ	freec
BS_ANZMQ09Q	cnvkit
BS_ASXY97FK	freec
BS_AVS4DSZW	cnvkit
BS_AW1G0X6Y	cnvkit
BS_AWDQEKK1	cnvkit
BS_AYPBAHJ6	freec
BS_AYPBAHJ6	gatk
BS_B3RH9V17	freec
BS_B4GBBM0J	freec
BS_B4PPG3X5	cnvkit
BS_B5T9CFX0	cnvkit
BS_B5T9CFX0	freec
BS_B5T9CFX0	gatk
BS_B5V3KSQY	freec
BS_B80Z459E	freec
BS_B85R6Q94	cnvkit
BS_B91XGSA5	freec
BS_BAVWP5JG	freec
BS_BF2MCS03	cnvkit
BS_BF2MCS03	gatk
BS_BHWE8S84	freec
BS_BHX4DM2S	freec
BS_BM95DGCQ	freec
BS_BR1X3R68	freec
BS_BWFPV7K7	cnvkit
BS_BYNGYA6A	gatk
BS_C2FYP4KW	gatk
BS_C3KT9THS	cnvkit
BS_C3KT9THS	freec
BS_C8T56CWR	freec
BS_CGCNC41M	cnvkit
BS_CGGJZ5Q1	cnvkit
BS_CGGJZ5Q1	freec
BS_CH0ZV29W	cnvkit
BS_CH19M67E	freec
BS_CHFJZQWR	cnvkit
BS_CHFJZQWR	gatk
BS_CJ2G78ZZ	cnvkit
BS_CKVK1AYV	freec
BS_CPGZYTHM	freec
BS_CPYV7AHD	freec
BS_CQC29CK5	cnvkit
BS_CSAS6ZJC	freec
BS_CSGEJF3E	freec
BS_CSZQAS8E	cnvkit
BS_CXCKHP3Z	freec
BS_D008KA45	cnvkit
BS_D09VWF8H	cnvkit
BS_D2WQA9S4	cnvkit
BS_D3Z495GB	cnvkit
BS_D6STCMQS	cnvkit
BS_D8H43Q28	freec
BS_DAX3YVG0	freec
BS_DKB694QC	freec
BS_DM0358AQ	freec
BS_DM0358AQ	gatk
BS_DMBNB0EP	cnvkit
BS_DVDT4VXQ	cnvkit
BS_DX3CGG44	cnvkit
BS_DY0HRE4P	cnvkit
BS_DZTJC1GJ	freec
BS_E1FCN4JK	freec
BS_E3N4JN0X	cnvkit
BS_E3N4JN0X	gatk
BS_E4C16ZWG	freec
BS_E4C16ZWG	gatk
BS_E4N511ZX	cnvkit
BS_E4N511ZX	freec
BS_E5H6CFYT	freec
BS_E8SJ36A6	cnvkit
BS_E9YW2KHS	freec
BS_EDGSP4V6	cnvkit
BS_EDGSP4V6	freec
BS_EE2YW499	freec
BS_EE73VE7V	cnvkit
BS_EEH04G1F	freec
BS_EFBBP9H3	cnvkit
BS_EFBBP9H3	gatk
BS_EJV0N3BX	gatk
BS_EKJB7HFV	cnvkit
BS_EPM623G4	gatk
BS_ERAWW3H7	cnvkit
BS_ERMGD2N5	cnvkit
BS_ERMGD2N5	freec
BS_ERRA7V0W	cnvkit
BS_F0GNWEJJ	gatk
BS_F5KRHGKC	cnvkit
BS_F6MNG2S0	freec
BS_FF73TT6D	freec
BS_FG649AWK	cnvkit
BS_FJEZ3ASV	freec
BS_FJEZ3ASV	gatk
BS_FJRZJ4RS	freec
BS_FKQ7F6D1	gatk
BS_FMZW3X54	cnvkit
BS_FNA7MJV8	cnvkit
BS_FR9R7VFY	cnvkit
BS_FSNCPJJF	freec
BS_FSRYGAR8	cnvkit
BS_FV0C303D	freec
BS_FVPZ3CYY	cnvkit
BS_FVPZ3CYY	freec
BS_FVYBGMG1	cnvkit
BS_FXG6F3NN	freec
BS_FXWGAQQ1	freec
BS_FXWGAQQ1	gatk
BS_FYJMNRGK	freec
BS_FZ8D57HJ	freec
BS_G4EX0H98	freec
BS_G6ASNYWP	cnvkit
BS_G7PYDGEJ	freec
BS_G9CCAMGS	cnvkit
BS_G9CCAMGS	freec
BS_GBS4JMAZ	freec
BS_GEX9KAKM	freec
BS_GFN4FETJ	cnvkit
BS_GFN4FETJ	freec
BS_GKPVZXYP	gatk
BS_GKSRM687	freec
BS_GNETMRJF	freec
BS_GNSAKWR4	cnvkit
BS_GPPREVAD	cnvkit
BS_GPX0HD13	freec
BS_GS9JCK55	freec
BS_GXACEYKB	freec
BS_GXWCF4ZQ	freec
BS_GZ39V8AK	freec
BS_H04BZP9Q	cnvkit
BS_H0MVFRCE	freec
BS_H13TBC1X	cnvkit
BS_H18ZNTNR	cnvkit
BS_H18ZNTNR	freec
BS_H3237RZS	cnvkit
BS_H50HR85Y	freec
BS_H7T26DMD	freec
BS_H8MAKDRB	gatk
BS_HAE0X7JQ	cnvkit
BS_HBAKYKQM	freec
BS_HGE47RGT	freec
BS_HGE47RGT	gatk
BS_HHNG2JZT	freec
BS_HK7KBMHV	cnvkit
BS_HM5GFJN8	gatk
BS_HN8DE43A	cnvkit
BS_HN8DE43A	gatk
BS_HPMQY9T2	freec
BS_HQC1EKZ8	freec
BS_HQPHY9RZ	cnvkit
BS_HQYHVPC9	freec
BS_HSWKASWK	freec
BS_HTGDSPQA	freec
BS_HW4MYBZ2	cnvkit
BS_HW4MYBZ2	gatk
BS_HYKV2TH9	cnvkit
BS_HYX0M8VM	freec
BS_J0Y3MAPC	gatk
BS_J1CQN85Y	freec
BS_J3707KE2	freec
BS_J49XSYXM	cnvkit
BS_J6FPW4H0	freec
BS_J8EH1N7V	cnvkit
BS_J8EH1N7V	freec
BS_J8EH1N7V	gatk
BS_J8EK6RNF	freec
BS_J8YAY1HM	cnvkit
BS_JBTBZ5BG	cnvkit
BS_JC8YV5V9	cnvkit
BS_JC8YV5V9	freec
BS_JC8YV5V9	gatk
BS_JDZX545X	cnvkit
BS_JEZBA2EW	cnvkit
BS_JEZBA2EW	freec
BS_JGKRN7NA	cnvkit
BS_JGKRN7NA	gatk
BS_JGVTE14P	freec
BS_JM1VYTKQ	cnvkit
BS_JM979K1M	freec
BS_JP1WHJNY	freec
BS_JQ0XD1K9	cnvkit
BS_JQ0XD1K9	freec
BS_JQNF0FQP	cnvkit
BS_JQZTWXWN	cnvkit
BS_JTNTWJMD	cnvkit
BS_JTNTWJMD	freec
BS_JTNTWJMD	gatk
BS_JTP91S1A	freec
BS_K0X5TZ5K	cnvkit
BS_K14VJ1E3	cnvkit
BS_K5DHTP34	cnvkit
BS_K5DHTP34	freec
BS_K62HBS01	freec
BS_KCN7NG92	freec
BS_KFRBXXV7	freec
BS_KFZKF2P8	cnvkit
BS_KFZKF2P8	freec
BS_KHSYAB3J	gatk
BS_KP0YNTAK	gatk
BS_KQPCYZ2K	cnvkit
BS_KQPCYZ2K	gatk
BS_KQRAHH6Y	gatk
BS_KSHETTQC	freec
BS_KTHF096D	freec
BS_KVC8X5BX	freec
BS_KVC8X5BX	gatk
BS_KYPMZZSY	cnvkit
BS_KZDCV8XR	freec
BS_M0N8YXTA	cnvkit
BS_M0N8YXTA	freec
BS_M1TDS9CT	freec
BS_MAHWW7NR	cnvkit
BS_MCCJ3EMF	freec
BS_MCM78YPC	freec
BS_MDVMT75X	cnvkit
BS_MF4WP9RG	freec
BS_MGY2V5N4	freec
BS_MJ2H7ZT3	freec
BS_MJ8EGM54	cnvkit
BS_MJ8EGM54	freec
BS_MMBWD5VD	freec
BS_MT7ZHBK4	cnvkit
BS_MTQ7F28J	freec
BS_MW74GF38	freec
BS_MWXDJFWW	cnvkit
BS_MWZCP1XW	gatk
BS_MZB884N9	cnvkit
BS_MZB884N9	freec
BS_N02QNWD0	freec
BS_N9N1X78X	cnvkit
BS_N9SMBR24	cnvkit
BS_NB0ESCXK	cnvkit
BS_NB0ESCXK	freec
BS_NFT9VHMJ	freec
BS_NH2XJVK9	cnvkit
BS_NH2XJVK9	freec
BS_NH7GT0KE	cnvkit
BS_NMQTPVFW	cnvkit
BS_NMQTPVFW	freec
BS_NP8R2JAM	freec
BS_NQN1P6QY	cnvkit
BS_NSWP72M6	cnvkit
BS_NTCKT2C2	cnvkit
BS_NV2GCZZC	freec
BS_NX91DYXQ	freec
BS_P3R9QZKP	cnvkit
BS_P5M7K1JD	freec
BS_P6FPBJM8	cnvkit
BS_P6FPBJM8	freec
BS_P6FPBJM8	gatk
BS_P9FWPEYY	freec
BS_PC1SQ3P7	cnvkit
BS_PC1SQ3P7	freec
BS_PEFRDKDZ	freec
BS_PJY7ZSQC	cnvkit
BS_PJY7ZSQC	freec
BS_PKBE5QX6	cnvkit
BS_PKZ1HWNB	freec
BS_PKZ1HWNB	gatk
BS_PMFR8NPN	freec
BS_PMFR8NPN	gatk
BS_PNF2SHN9	freec
BS_PWXXZMSR	freec
BS_PYEB0KYG	cnvkit
BS_PZEB1PFD	freec
BS_Q7QH96SX	cnvkit
BS_QCP0VAZ7	freec
BS_QDMDQ3E3	freec
BS_QEKBZRMD	freec
BS_QFH9XM6Q	gatk
BS_QFS497M1	cnvkit
BS_QHTDJG77	freec
BS_QMG7XNEW	freec
BS_QMJT2BBH	cnvkit
BS_QMJT2BBH	gatk
BS_QP7FX3N3	cnvkit
BS_QP7FX3N3	freec
BS_QSEKE2HK	freec
BS_QSMFVHSB	freec
BS_QWC51APP	cnvkit
BS_QWC51APP	freec
BS_QXZVH619	cnvkit
BS_QZAV7XVF	cnvkit
BS_QZRP3NSG	freec
BS_QZRP3NSG	gatk
BS_R1G6SG0K	gatk
BS_R3WB0PP7	cnvkit
BS_R8ZKDFWH	freec
BS_RA5HNMDP	cnvkit
BS_RC3GT3V9	cnvkit
BS_RGSJMSRE	freec
BS_RR3T675W	freec
BS_S0AY65X8	cnvkit
BS_S0T3CQ97	gatk
BS_S34SCYW4	cnvkit
BS_S4CG60MW	freec
BS_S4V27HQX	freec
BS_S78482NX	cnvkit
BS_S7S6YEHA	cnvkit
BS_SCW1FS55	cnvkit
BS_SCW1FS55	freec
BS_SDT1J3A7	cnvkit
BS_SFH8TGKT	freec
BS_SFZ3A07S	cnvkit
BS_SH46ACTP	cnvkit
BS_SPGHWHXY	freec
BS_SQJ3P9JM	cnvkit
BS_SSHQFYA8	freec
BS_STK02B14	freec
BS_SWHQ8FDW	freec
BS_SWHQ8FDW	gatk
BS_SXVVN52M	freec
BS_SY6CCX4G	freec
BS_T3WNX1E2	cnvkit
BS_T3WNX1E2	freec
BS_T8C13KNH	cnvkit
BS_T8X3D09X	freec
BS_T9KJYH7M	freec
BS_TBWPXD8S	freec
BS_TF5TTEXH	freec
BS_TF5TTEXH	gatk
BS_THY6PFYF	freec
BS_TN8CGS84	cnvkit
BS_TN8CGS84	gatk
BS_TNM9RW9W	cnvkit
BS_TTVKCKZH	cnvkit
BS_V2QN65XA	cnvkit
BS_V6V2NMFC	cnvkit
BS_V7VQP1QM	cnvkit
BS_V7VQP1QM	gatk
BS_VA3HCDCZ	freec
BS_VCE73HPW	cnvkit
BS_VGQXHHWP	cnvkit
BS_VJYFBZW1	freec
BS_VQC2PE2B	freec
BS_VQFB0WDW	freec
BS_VVD8TJNE	freec
BS_VXDGXQKZ	cnvkit
BS_VZB4K7NV	cnvkit
BS_VZB4K7NV	freec
BS_W13BPYBN	cnvkit
BS_W22EEJCZ	freec
BS_W2KN096H	cnvkit
BS_W37YKD6X	cnvkit
BS_W37YKD6X	freec
BS_W3R2DQ86	freec
BS_W41Y820G	freec
BS_W74D279Q	freec
BS_WCEE5B97	cnvkit
BS_WCX9HT5Y	freec
BS_WFZG82XZ	freec
BS_WH8KWW5J	cnvkit
BS_WH8KWW5J	freec
BS_WH8KWW5J	gatk
BS_WJ7BS3HN	freec
BS_WJB33V17	freec
BS_WN6EX9EK	cnvkit
BS_WP2D11SK	freec
BS_WPCBK1EG	gatk
BS_WSD8PV27	cnvkit
BS_WSD8PV27	freec
BS_WSK7MH3C	cnvkit
BS_WVMWHF4P	cnvkit
BS_WVMWHF4P	freec
BS_WXKCR17Q	freec
BS_WZXHZN97	gatk
BS_X1DSETVE	freec
BS_X2VRDBVG	cnvkit
BS_X5VN0FW0	cnvkit
BS_X6BEG5J1	freec
BS_X6GPJ6Y8	cnvkit
BS_X6NW8R6K	cnvkit
BS_X7QJCVJB	freec
BS_X8H38ZNB	cnvkit
BS_X8H38ZNB	freec
BS_X9C9GG1S	cnvkit
BS_XA3KEKC6	freec
BS_XBE002WV	freec
BS_XBT37K7C	cnvkit
BS_XBT37K7C	freec
BS_XEVMEYFS	freec
BS_XEVMEYFS	gatk
BS_XEWFB0YN	cnvkit
BS_XEWFB0YN	freec
BS_XJHVW4KY	freec
BS_XM302FF4	freec
BS_XMP9XNR9	gatk
BS_XNYQS1WG	cnvkit
BS_XNYQS1WG	freec
BS_XSWF2MR1	cnvkit
BS_XTV8GQHP	freec
BS_XTV8GQHP	gatk
BS_XWYBVJ4R	gatk
BS_Y43VC4VG	cnvkit
BS_Y74XAFJX	cnvkit
BS_Y9BHAPG3	freec
BS_Y9ZBD2KA	freec
BS_Y9ZBD2KA	gatk
BS_YAE6B9W7	cnvkit
BS_YETTZ1NC	gatk
BS_YG6FYM9A	freec
BS_YGQS4660	freec
BS_YGW3DSG3	freec
BS_YHXMYDBN	cnvkit
BS_YK9W04XG	freec
BS_YQQ4Q13Y	freec
BS_YZ0P5E8H	cnvkit
BS_YZD4SSMA	gatk
BS_Z02ENZZ1	cnvkit
BS_Z02ENZZ1	freec
BS_Z34PQDYT	freec
BS_Z3AB3KMP	freec
BS_Z5D6G1S6	cnvkit
BS_Z5D6G1S6	freec
BS_Z5VJCFNP	cnvkit
BS_Z5VJCFNP	gatk
BS_Z6FMPMDH	cnvkit
BS_Z728T3ME	cnvkit
BS_Z862V8M7	freec
BS_Z9NCH2XA	cnvkit
BS_ZCY4ECNV	gatk
BS_ZQ04SDG9	cnvkit
BS_ZQ04SDG9	freec
BS_ZR75EKKX	freec
BS_ZRG2V7T2	freec
BS_ZX1YPQ88	cnvkit
BS_ZYXTC212	cnvkit
BS_ZYXTC212	freec
