Gene	broad_histology	count
ABI1	Low-grade astrocytic tumor	4
ABL1	Hematologic malignancy	18
ABR	Hematologic malignancy	7
ACSF3	Hematologic malignancy	18
ACTR1A	Hematologic malignancy	5
ADAP1	Hematologic malignancy	7
ADRM1	Hematologic malignancy	4
AFDN	Hematologic malignancy	6
AFF1	Hematologic malignancy	11
AGO2	Hematologic malignancy	17
AKAP8	Hematologic malignancy	15
AKAP9	Hematologic malignancy	4
AKT1	Hematologic malignancy	8
ALK	Diffuse astrocytic and oligodendroglial tumor	5
ANKHD1-EIF4EBP3	Hematologic malignancy	4
ANKRD11	Hematologic malignancy	34
ANP32A	Hematologic malignancy	10
AP3D1	Hematologic malignancy	5
ARAP2	Hematologic malignancy	4
ARHGEF2	Hematologic malignancy	6
ARHGEF7	Hematologic malignancy	4
ARID1B	Diffuse astrocytic and oligodendroglial tumor	4
ARID3A	Hematologic malignancy	4
ARID5A	Hematologic malignancy	11
ARID5B	Hematologic malignancy	5
ASPSCR1	Hematologic malignancy	10
ASXL1	Hematologic malignancy	23
ATP6V0C	Hematologic malignancy	34
ATRX	Hematologic malignancy	4
AUTS2	Hematologic malignancy	6
B2M	Hematologic malignancy	40
BAHCC1	Hematologic malignancy	10
BANP	Hematologic malignancy	61
BAZ1A	Hematologic malignancy	8
BAZ2B	Hematologic malignancy	11
BCAS3	Embryonal tumor	5
BCL11A	Hematologic malignancy	5
BCL11B	Hematologic malignancy	11
BCL7A	Hematologic malignancy	26
BCL9	Hematologic malignancy	4
BCR	Hematologic malignancy	14
BIRC6	Hematologic malignancy	11
BPTF	Hematologic malignancy	6
BRAF	Diffuse astrocytic and oligodendroglial tumor	4
BRAF	Low-grade astrocytic tumor	27
BRD1	Hematologic malignancy	82
BRD4	Hematologic malignancy	12
BRF1	Hematologic malignancy	7
BSG	Hematologic malignancy	9
C7orf50	Hematologic malignancy	14
CALM1	Hematologic malignancy	5
CALM2	Hematologic malignancy	6
CBFA2T3	Hematologic malignancy	122
CBFB	Hematologic malignancy	29
CBX4	Hematologic malignancy	5
CCAR1	Hematologic malignancy	4
CCDC50	Low-grade astrocytic tumor	4
CD81	Hematologic malignancy	50
CDK14	Diffuse astrocytic and oligodendroglial tumor	4
CDK14	Low-grade astrocytic tumor	4
CDK2AP1	Hematologic malignancy	39
CDK6	Hematologic malignancy	5
CELF2	Hematologic malignancy	6
CENPC	Hematologic malignancy	4
CHMP1A	Embryonal tumor	5
CHST11	Hematologic malignancy	9
CIC	Hematologic malignancy	5
CIRBP	Hematologic malignancy	4
CLK1	Hematologic malignancy	5
CLK3	Hematologic malignancy	5
CLPTM1L	Hematologic malignancy	14
CNOT2	Hematologic malignancy	4
COL1A1	Mesenchymal non-meningothelial tumor	4
COPE	Hematologic malignancy	17
CPSF6	Hematologic malignancy	4
CREBBP	Hematologic malignancy	10
CRTC1	Hematologic malignancy	10
CS	Hematologic malignancy	4
CSNK1D	Hematologic malignancy	19
CSNK1G2	Hematologic malignancy	10
CTBP1	Hematologic malignancy	13
CTDP1	Hematologic malignancy	30
CTNNA2	Low-grade astrocytic tumor	8
CTNND2	Embryonal tumor	4
CTNND2	Low-grade astrocytic tumor	6
CUL3	Hematologic malignancy	8
CUX1	Hematologic malignancy	4
CXCR4	Hematologic malignancy	106
CYRIA	Embryonal tumor	8
CYTH1	Hematologic malignancy	6
DAZAP1	Hematologic malignancy	15
DDX1	Embryonal tumor	7
DDX3X	Hematologic malignancy	7
DDX5	Hematologic malignancy	27
