cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Teratoma	MONDO_0002601	MONDO_0002601	NCIT_C3403	MONDO_0002601	MONDO_0002601	NCIT_C3403	teratoma	teratoma	Teratoma	True	True	True	True	True	True
Testicular Germ Cell Tumor	EFO_1000566	MONDO_0010108	NCIT_C8591	EFO_1000566	MONDO_0010108	NCIT_C8591	Testicular Germ Cell Tumor	testicular germ cell tumor	Testicular Germ Cell Tumor	True	True	True	True	True	True
Thymoma	EFO_1000581	MONDO_0006456	NCIT_C3411	EFO_1000581	MONDO_0006456	NCIT_C3411	Thymoma	thymoma	Thymoma	True	True	True	True	True	True
Thyroid Carcinoma	EFO_0002892	MONDO_0015075	NCIT_C4815	EFO_0002892	MONDO_0015075	NCIT_C4815	thyroid carcinoma	thyroid gland carcinoma	Thyroid Gland Carcinoma	True	False	False	True	True	True
Thyroid Gland Follicular Carcinoma	EFO_0000501	MONDO_0005034	NCIT_C8054	EFO_0000501	MONDO_0005034	NCIT_C8054	follicular thyroid carcinoma	thyroid gland follicular carcinoma	Thyroid Gland Follicular Carcinoma	False	True	True	True	True	True
Thyroid Gland Papillary Carcinoma	EFO_0000641	MONDO_0005075	NCIT_C4035	EFO_0000641	MONDO_0005075	NCIT_C4035	papillary thyroid carcinoma	thyroid gland papillary carcinoma	Thyroid Gland Papillary Carcinoma	False	True	True	True	True	True
Uterine Carcinosarcoma	EFO_1000613	MONDO_0006485	NCIT_C42700	EFO_1000613	MONDO_0006485	NCIT_C42700	Uterine Carcinosarcoma	uterine carcinosarcoma	Uterine Carcinosarcoma	True	True	True	True	True	True
Uterine Corpus Endometrial Carcinoma	EFO_0007532	MONDO_0000553	NCIT_C159413	EFO_1000238	MONDO_0000553	NCIT_C159413	Endometrial Serous Adenocarcinoma	uterine corpus endometrial carcinoma	CPTAC Uterine Corpus Endometrial Carcinoma Baseline Form	False	True	False	False	True	True
Uveal Melanoma	EFO_1000616	MONDO_0006486	NCIT_C7712	EFO_1000616	MONDO_0006486	NCIT_C7712	Uveal Melanoma	uveal melanoma	Uveal Melanoma	True	True	True	True	True	True
Wilms tumor	MONDO_0006058	MONDO_0006058	NCIT_C3267	MONDO_0006058	MONDO_0006058	NCIT_C3267	Wilms tumor	Wilms tumor	Wilms Tumor	True	True	True	True	True	True
