cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Glial-neuronal tumor	MONDO_0016729	MONDO_0016729	NCIT_C4747	MONDO_0016729	MONDO_0016729	NCIT_C7372	mixed neuronal-glial tumor	mixed neuronal-glial tumor	Cerebellar Glioneuronal and Neuronal Tumors	False	False	False	True	True	False
Glial-neuronal tumor NOS	MONDO_0016729	MONDO_0016729	NCIT_C4747	MONDO_0016729	MONDO_0016729	NCIT_C3716	mixed neuronal-glial tumor	mixed neuronal-glial tumor	Primitive Neuroectodermal Tumor	False	False	False	True	True	False
Glioblastoma    MONDO_0018177   MONDO_0018177   NCIT_C30587	NA	NA	NA	MONDO_0018177	MONDO_0018177	NCIT_C3058	glioblastoma	glioblastoma	Glioblastoma	False	False	False	False	False	False
Glioblastoma Multiforme	EFO_0000519	MONDO_0018177	NCIT_C3058	EFO_0000519	MONDO_0018177	NCIT_C3058	glioblastoma multiforme	glioblastoma	Glioblastoma	True	False	False	True	True	True
Gliomatosis Cerebri	MONDO_0016683	MONDO_0016683	NCIT_C4318	MONDO_0016683	MONDO_0016683	NCIT_C4318	gliomatosis cerebri	gliomatosis cerebri	Gliomatosis Cerebri	True	True	True	True	True	True
Head and Neck Squamous Cell Carcinoma	EFO_0000181	MONDO_0010150	NCIT_C34447	EFO_0000181	MONDO_0010150	NCIT_C34447	head and neck squamous cell carcinoma	head and neck squamous cell carcinoma	Head and Neck Squamous Cell Carcinoma	True	True	True	True	True	True
Hemangioblastoma	MONDO_0016748	MONDO_0016748	NCIT_C3801	MONDO_0016748	MONDO_0016748	NCIT_C3801	hemangioblastoma	hemangioblastoma	Hemangioblastoma	True	True	True	True	True	True
Hepatoblastoma	EFO_1000292	MONDO_0018666	NCIT_C3728	EFO_1000292	MONDO_0018666	NCIT_C3728	Hepatoblastoma	hepatoblastoma	Hepatoblastoma	True	True	True	True	True	True
Hepatocellular Carcinoma	EFO_0000182	MONDO_0007256	NCIT_C3099	EFO_0000182	MONDO_0007256	NCIT_C3099	hepatocellular carcinoma	hepatocellular carcinoma	Hepatocellular Carcinoma	True	True	True	True	True	True
High-grade glioma	MONDO_0100342	MONDO_0100342	NCIT_C4822	MONDO_0100342	MONDO_0100342	NCIT_C4822	malignant glioma	malignant glioma	Malignant Glioma	False	False	False	True	True	True
High-grade glioma/astrocytoma	MONDO_0016680	MONDO_0016680	NCIT_C102897	EFO_1001197	MONDO_0100342	NCIT_C9477	subependymal glioma	malignant glioma	Anaplastic Astrocytoma	False	False	False	False	False	False
Histiocytic tumor	MONDO_0020081	MONDO_0020081	NCIT_C9294	MONDO_0020081	MONDO_0020081	NCIT_C27349	macrophage or histiocytic tumor	macrophage or histiocytic tumor	Histiocytic Sarcoma	False	False	False	True	True	False
Hodgkin's lymphoma	EFO_0000183	MONDO_0004952	NCIT_C9357	EFO_0000183	MONDO_0004620	NCIT_C3208	Hodgkins lymphoma	Hodgkin's lymphoma, lymphocytic depletion	Lymphoma	False	False	False	True	False	False
Infant-type hemispheric glioma	EFO_0005543	MONDO_0014695	NCIT_C185471	EFO_0005543	MONDO_0014695	NCIT_C185471	glioma	glioma susceptibility 9	Infant-Type Hemispheric Glioma	False	False	True	True	True	True
Infantile Fibrosarcoma	MONDO_0002678	MONDO_0002678	NCIT_C4244	EFO_0002087	MONDO_0005164	NCIT_C4244	fibrosarcoma	fibrosarcoma	Infantile Fibrosarcoma	False	False	True	False	False	True
Inflammatory Myofibroblastic Tumor	MONDO_0015798	MONDO_0015798	NCIT_C6481	MONDO_0015798	MONDO_0015798	NCIT_C6481	inflammatory myofibroblastic tumor	inflammatory myofibroblastic tumor	Inflammatory Myofibroblastic Tumor	True	True	True	True	True	True
Intrahepatic Cholangiocarcinoma	EFO_1001961	MONDO_0003210	NCIT_C35417	EFO_1001961	MONDO_0003210	NCIT_C35417	intrahepatic cholangiocarcinoma	intrahepatic cholangiocarcinoma	Intrahepatic Cholangiocarcinoma	True	True	True	True	True	True
Intraneural perineuroma	MONDO_0015032	MONDO_0015032	NCIT_C6911	MONDO_0015032	MONDO_0015032	NCIT_C6911	intraneural perineurioma	intraneural perineurioma	Intraneural Perineurioma	False	False	False	True	True	True
Juvenile xanthogranuloma	EFO_1000311	MONDO_0015534	NCIT_C3451	EFO_1000311	MONDO_0015534	NCIT_C3451	Juvenile Xanthogranuloma	juvenile xanthogranuloma	Juvenile Xanthogranuloma	True	True	True	True	True	True
Langerhans Cell histiocytosis	EFO_1000318	MONDO_0018310	NCIT_C3107	EFO_1000318	MONDO_0018310	NCIT_C3107	Langerhans Cell Histiocytosis	Langerhans cell histiocytosis	Langerhans Cell Histiocytosis	True	True	True	True	True	True
Low-grade glioma	MONDO_0021637	MONDO_0021637	NCIT_C132067	MONDO_0021637	MONDO_0021637	NCIT_C132067	low grade glioma	low grade glioma	Low Grade Glioma	False	False	False	True	True	True
