Kids_First_Biospecimen_ID	FOXG1_expression_zscore	OLIG2_expression_zscore	TP73_AS1_expression_zscore	EGFR_expression_zscore	EZHIP_expression_zscore
BS_00FD2KMP	1.22765793227458	-1.1442309289877348	-0.9117700120781038	1.146872422490856	0.08340532034746194
BS_028YFYJ6	-0.7472632367297679	0.14860383025777138	0.18103976088369902	-1.1951355595223951	-0.09539626188401143
BS_052PZFMK	1.4722595499314906	-1.7572704250181632	0.1492691295643207	-0.4834243158528897	-0.38623866826959957
BS_056Q8577	3.317358218776244	-1.0874899532603208	0.5284082762902806	2.4105238132538576	-0.12245401905766283
BS_08TWG4K0	1.2171225769258343	-0.03382774353520829	0.33136971124222975	-1.7841704430988667	-0.5863677259379436
BS_0BBCFXDQ	0.43300500116493074	-0.24991119912033002	-0.33567032115371154	-0.8460730710290839	-0.6219987307527461
BS_0C7VZC0A	1.1000496937276434	0.48341433710003634	-0.1657013395845572	0.1588444559012643	0.24603398982601093
BS_0RQ4P069	-0.7472632367297679	-1.7834730130869128	-0.5143741928674892	0.00412123797791914	-0.6219987307527461
BS_0S8E7590	-0.7343380820768938	0.7172494554823646	-0.10853460165341758	0.7283008705788939	1.7174451560790853
BS_0VXZCRJS	-0.7154179463045586	1.0215722115290373	1.3728356256614225	-1.489317678497949	-0.19193396186591638
BS_0Z1XRQ8F	0.2738455134552961	0.11747016987430588	-0.7297083813109437	-0.5767360517413381	-0.6219987307527461
BS_0ZA67BBC	-0.7343380820768938	0.9907133435077622	1.4527715271719475	0.4779578541852278	-0.12245401905766283
BS_12G04QJM	-0.7472632367297679	1.0679805247080791	0.22247677152832565	-1.9000056335035884	-0.6219987307527461
BS_17ZSMXFH	-0.6732937193373716	0.9077740715274402	-0.449234575016637	0.6072245773478926	2.776142953050643
BS_1A521KDP	-0.7472632367297679	-1.1476543298893775	-0.9493241730878319	-0.10084136385521077	-0.4342230304441149
BS_1A6MQ9ZA	-0.7092311797864053	0.08600389715295788	-0.8684555899841278	-1.51358828295948	-0.41808564026055284
BS_1BJNPHMD	1.1599791431868112	0.5170915542371135	0.5113006844255796	-1.6101719337601625	-0.3241874521729855
BS_1D6PZNKN	-0.5323270166045655	0.580299345259759	-1.3233880503139785	-0.9153536815395179	-0.5688133726062821
BS_1D93Z575	-0.3932887248587952	1.0549064980418734	0.8143477766931971	-1.022777143132436	-0.6219987307527461
BS_1DNQ1R02	1.719401799446832	1.0589695942470718	-0.1002303475588632	1.3380286328467617	1.4987633894201742
BS_1E684SD5	-0.7472632367297679	0.5749184260321366	0.6140949450243177	1.3956036692527425	-0.5342102495358414
